step,steps_total_est,progress_frac,t,total_time,phi,accepted_dt,wall_seconds,seconds_per_step,eta_seconds,param_dim,norm,E_total,T_kin,V_cos,V_const,V_lattice,x_mean,p_mean,x2,p2,polarization_cell,delta_polarization,raw_cond,actual_solve_cond,actual_solve_rank,sv_min,relative_raw_residual,discarded_rhs_fraction,dz_norm,metric_norm,min_re_B,min_re_AplusB
0,100,0,0,0.20000000000000001,0,0,0,nan,nan,48,1,-1.0765859783301945,0.34677051835302247,-1.4233564966832171,0,-1.4233564966832171,-0.0013256994571147502,0,0.36606428264215668,0.69354103670604494,-0.00016571243213934377,0,nan,nan,-1,nan,nan,nan,nan,nan,0.57436677743869635,0.57436677743869635
25,100,0.25,0.050000000000000031,0.20000000000000001,0.0024565985800371888,0.002,1.264478948,0.050579157919999999,3.7934368439999999,48,1,-1.0765850190284909,0.34676935534330922,-1.4233543743718,0,-1.4233543743718,-0.0013259298748866165,5.1830247098352417e-05,0.36606240616839275,0.69353871068661843,-0.00016574123436082706,-2.8802221483287304e-08,5.0314727477188832e+17,4053.2968213221752,16,9.9999983367284484e-09,0.051841198307765936,0.051841198306150318,0.55927277168346945,0.024988792782398513,0.5733290404821304,0.5733290404821304
50,100,0.5,0.10000000000000007,0.20000000000000001,0.0049130975933387531,0.002,2.5509992960000001,0.051019985920000004,2.5509992960000001,48,1.0000000000000004,-1.0765790710435637,0.34676681986413327,-1.4233458909076968,0,-1.4233458909076968,-0.0013289371126322571,1.7397834037803522e-05,0.36605572827804123,0.69353363972826654,-0.00016611713907903214,-4.047069396883663e-07,3.565517829883721e+17,3681.527353404957,16,9.9999890891139425e-09,0.053642378251243329,0.053642378249638981,0.55102366046533591,0.025421882692152922,0.57067601541289303,0.57067601541289303
75,100,0.75,0.15000000000000011,0.20000000000000001,0.0073694963536547206,0.002,3.8415395769999998,0.05122052769333333,1.2805131923333333,48,1.0000000000000002,-1.076568144379618,0.34676496018056457,-1.4233331045601827,0,-1.4233331045601827,-0.0013375841966298209,-0.00010642922115986216,0.36604148371794493,0.69352992036112915,-0.00016719802457872761,-1.4855924393838364e-06,48101380511783440,3298.9578030170792,16,9.9999998216029385e-09,0.05528788127965658,0.055287881278186991,0.52573233427345922,0.025490203469110295,0.56749821264590838,0.56749821264590838
100,100,1,0.20000000000000001,0.20000000000000001,0.0098257898550739055,0.001999999999999863,5.1827106479999996,0.051827106479999996,nan,48,1,-1.0765522551620115,0.34676593574919312,-1.4233181909112045,0,-1.4233181909112045,-0.0013541038173681124,-0.00031791124717900647,0.36601602271577799,0.69353187149838624,-0.00016926297717101405,-3.550545031670273e-06,40436167793787448,3021.4593861831395,16,1.0000000105502952e-08,0.056504491549249851,0.056504491547928561,0.49709398384986497,0.02531076662126017,0.5648890503188454,0.5648890503188454
