job_id=606190
array_job_id=606187
array_task_id=0
job_name=vs3n2fu3
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma1p250
mode=gauss
sigma=1.25
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:55:33+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma1p250 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/1005310 0.0% t=0.00000 eta_s=nan E=-2.15315010 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000093 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531500998 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000009265
progress N=2 step 250/1005310 0.0% t=0.12500 eta_s=532507.3 E=-2.15312659 P=0.99965667 dP=-0.00000222 r12=8.04559880 Vg=0.00000094 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.61e-02
progress N=2 step 500/1005310 0.0% t=0.25000 eta_s=535670.3 E=-2.15304098 P=0.99964204 dP=-0.00001685 r12=8.04560160 Vg=0.00000098 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=4.95e-02
progress N=2 step 750/1005310 0.1% t=0.37500 eta_s=534526.6 E=-2.15289400 P=0.99960297 dP=-0.00005592 r12=8.04558509 Vg=0.00000102 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=2.94e-02
progress N=2 step 1000/1005310 0.1% t=0.50000 eta_s=532400.8 E=-2.15268679 P=0.99952717 dP=-0.00013173 r12=8.04555414 Vg=0.00000104 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=2.02e-02
progress N=2 step 1250/1005310 0.1% t=0.62500 eta_s=531606.5 E=-2.15242087 P=0.99940208 dP=-0.00025681 r12=8.04551918 Vg=0.00000104 norm=1.00000000 rank=36/256 sv_max=1.08e+02 resid=1.59e-02
progress N=2 step 1500/1005310 0.1% t=0.75000 eta_s=533497.8 E=-2.15209812 P=0.99921587 dP=-0.00044303 r12=8.04547931 Vg=0.00000106 norm=1.00000000 rank=36/256 sv_max=1.09e+02 resid=1.33e-02
progress N=2 step 1750/1005310 0.2% t=0.87500 eta_s=534753.6 E=-2.15172079 P=0.99895979 dP=-0.00069910 r12=8.04542560 Vg=0.00000109 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.15e-02
progress N=2 step 2000/1005310 0.2% t=1.00000 eta_s=536098.4 E=-2.15129131 P=0.99862698 dP=-0.00103192 r12=8.04535681 Vg=0.00000115 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.01e-02
progress N=2 step 2250/1005310 0.2% t=1.12500 eta_s=536734.5 E=-2.15081221 P=0.99821264 dP=-0.00144625 r12=8.04528607 Vg=0.00000120 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=9.02e-03
progress N=2 step 2500/1005310 0.2% t=1.25000 eta_s=536611.1 E=-2.15028607 P=0.99771417 dP=-0.00194472 r12=8.04522516 Vg=0.00000125 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.56e-03
progress N=2 step 2750/1005310 0.3% t=1.37500 eta_s=536736.4 E=-2.14971541 P=0.99713177 dP=-0.00252712 r12=8.04517461 Vg=0.00000128 norm=1.00000000 rank=35/256 sv_max=1.09e+02 resid=8.26e-03
progress N=2 step 3000/1005310 0.3% t=1.50000 eta_s=536432.7 E=-2.14910285 P=0.99646776 dP=-0.00319114 r12=8.04513201 Vg=0.00000130 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=7.83e-03
progress N=2 step 3250/1005310 0.3% t=1.62500 eta_s=536558.1 E=-2.14845107 P=0.99572618 dP=-0.00393271 r12=8.04510491 Vg=0.00000132 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=7.63e-03
progress N=2 step 3500/1005310 0.3% t=1.75000 eta_s=536603.3 E=-2.14776256 P=0.99491253 dP=-0.00474636 r12=8.04510598 Vg=0.00000130 norm=1.00000000 rank=37/256 sv_max=1.06e+02 resid=7.50e-03
progress N=2 step 3750/1005310 0.4% t=1.87500 eta_s=535663.6 E=-2.14703963 P=0.99403542 dP=-0.00562347 r12=8.04513475 Vg=0.00000125 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=7.51e-03
progress N=2 step 4000/1005310 0.4% t=2.00000 eta_s=535890.4 E=-2.14628436 P=0.99310623 dP=-0.00655266 r12=8.04517921 Vg=0.00000117 norm=1.00000000 rank=35/256 sv_max=1.11e+02 resid=7.52e-03
progress N=2 step 4250/1005310 0.4% t=2.12500 eta_s=536171.7 E=-2.14549845 P=0.99213525 dP=-0.00752364 r12=8.04522848 Vg=0.00000109 norm=1.00000000 rank=36/256 sv_max=1.07e+02 resid=7.40e-03
progress N=2 step 4500/1005310 0.4% t=2.25000 eta_s=536545.3 E=-2.14468333 P=0.99113359 dP=-0.00852530 r12=8.04528392 Vg=0.00000104 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=7.17e-03
progress N=2 step 4750/1005310 0.5% t=2.37500 eta_s=536209.4 E=-2.14384006 P=0.99011498 dP=-0.00954391 r12=8.04534535 Vg=0.00000103 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=6.96e-03
progress N=2 step 5000/1005310 0.5% t=2.50000 eta_s=535397.3 E=-2.14296908 P=0.98909679 dP=-0.01056210 r12=8.04540258 Vg=0.00000105 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=6.71e-03
