job_id=605822
array_job_id=605822
array_task_id=1
job_name=vs3n2st4
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma3p000
mode=gauss
sigma=3.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma3p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/277470 0.0% t=0.00000 eta_s=nan E=-2.15295803 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00019300 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1529580287 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0001929977
progress N=2 step 250/277470 0.1% t=2.50000 eta_s=59242.7 E=-2.14277639 P=0.98909875 dP=-0.01056015 r12=8.04602763 Vg=0.00019260 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=6.73e-03
progress N=2 step 500/277470 0.2% t=5.00000 eta_s=59008.2 E=-2.11756040 P=0.98050383 dP=-0.01915506 r12=8.04559992 Vg=0.00019456 norm=1.00000000 rank=37/256 sv_max=1.03e+02 resid=3.76e-02
progress N=2 step 750/277470 0.3% t=7.50000 eta_s=59127.5 E=-2.07630206 P=0.96857322 dP=-0.03108567 r12=8.04686734 Vg=0.00019753 norm=1.00000000 rank=35/256 sv_max=9.44e+01 resid=9.44e-03
progress N=2 step 1000/277470 0.4% t=10.00000 eta_s=58778.0 E=-2.02640846 P=0.96262347 dP=-0.03703542 r12=8.04612397 Vg=0.00019692 norm=1.00000000 rank=34/256 sv_max=1.04e+02 resid=3.50e-02
progress N=2 step 1250/277470 0.5% t=12.50000 eta_s=58700.5 E=-1.96873765 P=0.95114607 dP=-0.04851282 r12=8.04795898 Vg=0.00020269 norm=1.00000000 rank=34/256 sv_max=1.11e+02 resid=1.17e-02
progress N=2 step 1500/277470 0.5% t=15.00000 eta_s=58830.2 E=-1.90950267 P=0.94733988 dP=-0.05231902 r12=8.04706123 Vg=0.00020288 norm=1.00000000 rank=34/256 sv_max=1.08e+02 resid=3.65e-02
progress N=2 step 1750/277470 0.6% t=17.50000 eta_s=58468.1 E=-1.84869867 P=0.93718067 dP=-0.06247822 r12=8.05026560 Vg=0.00020800 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=1.18e-02
progress N=2 step 2000/277470 0.7% t=20.00000 eta_s=58507.1 E=-1.79054480 P=0.93358136 dP=-0.06607753 r12=8.05017542 Vg=0.00021316 norm=1.00000000 rank=35/256 sv_max=1.16e+02 resid=3.81e-02
progress N=2 step 2250/277470 0.8% t=22.50000 eta_s=58537.2 E=-1.73387401 P=0.92694198 dP=-0.07271691 r12=8.04989077 Vg=0.00021385 norm=1.00000000 rank=34/256 sv_max=1.11e+02 resid=1.32e-02
progress N=2 step 2500/277470 0.9% t=25.00000 eta_s=58623.5 E=-1.68108534 P=0.92129412 dP=-0.07836478 r12=8.05482934 Vg=0.00023216 norm=1.00000000 rank=34/256 sv_max=1.30e+02 resid=5.70e-02
progress N=2 step 2750/277470 1.0% t=27.50000 eta_s=58659.4 E=-1.63121318 P=0.91867646 dP=-0.08098243 r12=8.04199031 Vg=0.00023493 norm=1.00000000 rank=34/256 sv_max=1.27e+02 resid=3.70e-02
progress N=2 step 3000/277470 1.1% t=30.00000 eta_s=58671.2 E=-1.58470407 P=0.91235230 dP=-0.08730659 r12=8.06831422 Vg=0.00024440 norm=1.00000000 rank=34/256 sv_max=1.44e+02 resid=3.26e-02
progress N=2 step 3250/277470 1.2% t=32.50000 eta_s=58687.9 E=-1.54170335 P=0.90892350 dP=-0.09073539 r12=8.03297146 Vg=0.00026896 norm=1.00000000 rank=34/256 sv_max=1.61e+02 resid=3.63e-02
progress N=2 step 3500/277470 1.3% t=35.00000 eta_s=58526.0 E=-1.50146470 P=0.90629333 dP=-0.09336556 r12=8.06048789 Vg=0.00026258 norm=1.00000000 rank=34/256 sv_max=1.61e+02 resid=3.68e-02
progress N=2 step 3750/277470 1.4% t=37.50000 eta_s=58355.3 E=-1.46420037 P=0.90118273 dP=-0.09847616 r12=8.05834136 Vg=0.00026758 norm=1.00000000 rank=34/256 sv_max=1.85e+02 resid=5.26e-02
progress N=2 step 4000/277470 1.4% t=40.00000 eta_s=58208.9 E=-1.42954861 P=0.89935848 dP=-0.10030041 r12=8.04594619 Vg=0.00028284 norm=1.00000000 rank=34/256 sv_max=1.92e+02 resid=7.90e-02
progress N=2 step 4250/277470 1.5% t=42.50000 eta_s=58213.9 E=-1.39721046 P=0.89513702 dP=-0.10452187 r12=8.04327672 Vg=0.00028275 norm=1.00000000 rank=32/256 sv_max=2.16e+02 resid=6.49e-02
progress N=2 step 4500/277470 1.6% t=45.00000 eta_s=58230.2 E=-1.36703217 P=0.89215469 dP=-0.10750420 r12=8.07460124 Vg=0.00027057 norm=1.00000000 rank=32/256 sv_max=2.45e+02 resid=2.21e-01
progress N=2 step 4750/277470 1.7% t=47.50000 eta_s=58203.3 E=-1.33880297 P=0.89100995 dP=-0.10864894 r12=8.04876270 Vg=0.00028450 norm=1.00000000 rank=32/256 sv_max=2.58e+02 resid=1.76e-01
progress N=2 step 5000/277470 1.8% t=50.00000 eta_s=58206.9 E=-1.31235808 P=0.88669838 dP=-0.11296051 r12=8.04918874 Vg=0.00031435 norm=1.00000000 rank=32/256 sv_max=2.61e+02 resid=1.99e-01
progress N=2 step 5250/277470 1.9% t=52.50000 eta_s=58162.4 E=-1.28764099 P=0.88191890 dP=-0.11773999 r12=8.05203931 Vg=0.00034438 norm=1.00000000 rank=33/256 sv_max=2.88e+02 resid=1.39e-01
progress N=2 step 5500/277470 2.0% t=55.00000 eta_s=58147.1 E=-1.26450054 P=0.87923290 dP=-0.12042600 r12=8.05814600 Vg=0.00035791 norm=1.00000000 rank=32/256 sv_max=2.99e+02 resid=2.89e-01
progress N=2 step 5750/277470 2.1% t=57.50000 eta_s=58119.6 E=-1.24247034 P=0.87995335 dP=-0.11970554 r12=8.04625733 Vg=0.00036828 norm=1.00000000 rank=32/256 sv_max=2.98e+02 resid=1.89e-01
