job_id=605826
array_job_id=605822
array_task_id=0
job_name=vs3n2st4
partition=epyc
node_list=cent
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma2p000
mode=gauss
sigma=2.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma2p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 5750/277470 2.1% t=57.50000 eta_s=58770.1 E=-1.24325234 P=0.87840376 dP=-0.12125513 r12=8.06161626 Vg=0.00002286 norm=1.00000000 rank=32/256 sv_max=3.29e+02 resid=6.50e-02
progress N=2 step 6000/277470 2.2% t=60.00000 eta_s=58696.3 E=-1.22249122 P=0.87443800 dP=-0.12522089 r12=8.05226295 Vg=0.00003388 norm=1.00000000 rank=32/256 sv_max=3.34e+02 resid=9.31e-02
progress N=2 step 6250/277470 2.3% t=62.50000 eta_s=58687.3 E=-1.20285056 P=0.87095345 dP=-0.12870544 r12=8.04705623 Vg=0.00004578 norm=1.00000000 rank=32/256 sv_max=3.53e+02 resid=4.59e-02
progress N=2 step 6500/277470 2.3% t=65.00000 eta_s=58656.2 E=-1.18438050 P=0.86384265 dP=-0.13581624 r12=8.04860653 Vg=0.00004827 norm=1.00000000 rank=32/256 sv_max=3.94e+02 resid=5.66e-02
progress N=2 step 6750/277470 2.4% t=67.50000 eta_s=58641.1 E=-1.16688283 P=0.86289042 dP=-0.13676847 r12=8.05209636 Vg=0.00004771 norm=1.00000000 rank=32/256 sv_max=4.04e+02 resid=1.18e-01
progress N=2 step 7000/277470 2.5% t=70.00000 eta_s=58628.2 E=-1.15012293 P=0.86030501 dP=-0.13935389 r12=8.04902429 Vg=0.00003580 norm=1.00000000 rank=32/256 sv_max=3.99e+02 resid=1.03e-01
progress N=2 step 7250/277470 2.6% t=72.50000 eta_s=58609.9 E=-1.13405055 P=0.86017972 dP=-0.13947917 r12=8.05186029 Vg=0.00002928 norm=1.00000000 rank=32/256 sv_max=4.17e+02 resid=8.65e-02
progress N=2 step 7500/277470 2.7% t=75.00000 eta_s=58592.5 E=-1.11861993 P=0.85523116 dP=-0.14442773 r12=8.05351885 Vg=0.00003132 norm=1.00000000 rank=32/256 sv_max=4.50e+02 resid=5.84e-02
progress N=2 step 7750/277470 2.8% t=77.50000 eta_s=58573.3 E=-1.10397110 P=0.84914705 dP=-0.15051185 r12=8.05543998 Vg=0.00004283 norm=1.00000000 rank=32/256 sv_max=4.71e+02 resid=8.36e-02
progress N=2 step 8000/277470 2.9% t=80.00000 eta_s=58549.4 E=-1.08999138 P=0.84384000 dP=-0.15581889 r12=8.04918317 Vg=0.00005825 norm=1.00000000 rank=33/256 sv_max=4.90e+02 resid=6.80e-02
progress N=2 step 8250/277470 3.0% t=82.50000 eta_s=58534.9 E=-1.07666987 P=0.83790300 dP=-0.16175589 r12=8.02579083 Vg=0.00006839 norm=1.00000000 rank=32/256 sv_max=5.09e+02 resid=1.14e-01
progress N=2 step 8500/277470 3.1% t=85.00000 eta_s=58510.3 E=-1.06384218 P=0.83571955 dP=-0.16393934 r12=8.00774467 Vg=0.00007344 norm=1.00000000 rank=31/256 sv_max=5.19e+02 resid=1.07e-01
progress N=2 step 8750/277470 3.2% t=87.50000 eta_s=58487.9 E=-1.05146780 P=0.83084465 dP=-0.16881424 r12=7.99609748 Vg=0.00006676 norm=1.00000000 rank=32/256 sv_max=5.24e+02 resid=9.82e-02
progress N=2 step 9000/277470 3.2% t=90.00000 eta_s=58424.1 E=-1.03952301 P=0.82793063 dP=-0.17172826 r12=7.99536617 Vg=0.00006981 norm=1.00000000 rank=32/256 sv_max=5.63e+02 resid=1.15e-01
progress N=2 step 9250/277470 3.3% t=90.67987 eta_s=58343.2 E=-1.03634452 P=0.82669725 dP=-0.17296164 r12=8.00081095 Vg=0.00007093 norm=1.00000000 rank=32/256 sv_max=5.61e+02 resid=8.72e-02
progress N=2 step 9500/277470 3.4% t=90.92987 eta_s=58319.1 E=-1.03518362 P=0.82609423 dP=-0.17356466 r12=8.00267852 Vg=0.00007034 norm=1.00000000 rank=32/256 sv_max=5.53e+02 resid=8.50e-02
progress N=2 step 9750/277470 3.5% t=91.17987 eta_s=58296.5 E=-1.03402689 P=0.82540741 dP=-0.17425148 r12=8.00433816 Vg=0.00007059 norm=1.00000000 rank=32/256 sv_max=5.48e+02 resid=8.21e-02
progress N=2 step 10000/277470 3.6% t=91.42987 eta_s=58276.1 E=-1.03287444 P=0.82467297 dP=-0.17498592 r12=8.00581819 Vg=0.00007027 norm=1.00000000 rank=32/256 sv_max=5.62e+02 resid=8.00e-02
progress N=2 step 10250/277470 3.7% t=91.67987 eta_s=58253.9 E=-1.03172651 P=0.82392151 dP=-0.17573739 r12=8.00710604 Vg=0.00006951 norm=1.00000000 rank=31/256 sv_max=5.79e+02 resid=7.78e-02
progress N=2 step 10500/277470 3.8% t=91.92987 eta_s=58231.1 E=-1.03058323 P=0.82317246 dP=-0.17648644 r12=8.00823491 Vg=0.00007007 norm=1.00000000 rank=32/256 sv_max=5.81e+02 resid=7.66e-02
progress N=2 step 10750/277470 3.9% t=92.17987 eta_s=58204.7 E=-1.02944486 P=0.82242428 dP=-0.17723461 r12=8.00928751 Vg=0.00007176 norm=1.00000000 rank=32/256 sv_max=5.80e+02 resid=7.97e-02
progress N=2 step 11000/277470 4.0% t=92.42987 eta_s=58178.9 E=-1.02831157 P=0.82166440 dP=-0.17799449 r12=8.01031200 Vg=0.00007316 norm=1.00000000 rank=31/256 sv_max=5.80e+02 resid=8.44e-02
progress N=2 step 11250/277470 4.1% t=92.67987 eta_s=58147.4 E=-1.02718326 P=0.82089351 dP=-0.17876538 r12=8.01133352 Vg=0.00007391 norm=1.00000000 rank=31/256 sv_max=5.80e+02 resid=8.63e-02
progress N=2 step 11500/277470 4.1% t=92.92987 eta_s=58106.1 E=-1.02605992 P=0.82012751 dP=-0.17953138 r12=8.01221985 Vg=0.00007485 norm=1.00000000 rank=31/256 sv_max=5.79e+02 resid=8.55e-02
progress N=2 step 11750/277470 4.2% t=93.17987 eta_s=58050.1 E=-1.02494149 P=0.81938339 dP=-0.18027550 r12=8.01282076 Vg=0.00007574 norm=1.00000000 rank=31/256 sv_max=5.86e+02 resid=8.46e-02
progress N=2 step 12000/277470 4.3% t=93.42987 eta_s=58000.0 E=-1.02382777 P=0.81867057 dP=-0.18098832 r12=8.01326979 Vg=0.00007602 norm=1.00000000 rank=31/256 sv_max=6.06e+02 resid=8.74e-02
progress N=2 step 12250/277470 4.4% t=93.67987 eta_s=57949.6 E=-1.02271848 P=0.81798459 dP=-0.18167430 r12=8.01376003 Vg=0.00007608 norm=1.00000000 rank=32/256 sv_max=6.06e+02 resid=9.17e-02
progress N=2 step 12500/277470 4.5% t=93.92987 eta_s=57907.6 E=-1.02161342 P=0.81733302 dP=-0.18232587 r12=8.01447734 Vg=0.00007649 norm=1.00000000 rank=32/256 sv_max=5.98e+02 resid=1.03e-01
progress N=2 step 12750/277470 4.6% t=94.17987 eta_s=57861.4 E=-1.02051258 P=0.81672325 dP=-0.18293564 r12=8.01543081 Vg=0.00007763 norm=1.00000000 rank=32/256 sv_max=6.04e+02 resid=1.19e-01
progress N=2 step 13000/277470 4.7% t=94.42987 eta_s=57736.4 E=-1.01941589 P=0.81616249 dP=-0.18349640 r12=8.01646083 Vg=0.00007921 norm=1.00000000 rank=32/256 sv_max=6.05e+02 resid=1.25e-01
progress N=2 step 13250/277470 4.8% t=94.67987 eta_s=57679.3 E=-1.01832308 P=0.81566143 dP=-0.18399746 r12=8.01759468 Vg=0.00008059 norm=1.00000000 rank=32/256 sv_max=6.04e+02 resid=1.19e-01
progress N=2 step 13500/277470 4.9% t=94.92987 eta_s=57632.3 E=-1.01723417 P=0.81521462 dP=-0.18444428 r12=8.01893507 Vg=0.00008237 norm=1.00000000 rank=32/256 sv_max=6.15e+02 resid=1.09e-01
progress N=2 step 13750/277470 5.0% t=95.17987 eta_s=57589.7 E=-1.01614878 P=0.81479483 dP=-0.18486406 r12=8.02044038 Vg=0.00008512 norm=1.00000000 rank=32/256 sv_max=6.26e+02 resid=1.02e-01
progress N=2 step 14000/277470 5.0% t=95.42987 eta_s=57546.5 E=-1.01506698 P=0.81436018 dP=-0.18529871 r12=8.02187439 Vg=0.00008754 norm=1.00000000 rank=31/256 sv_max=6.29e+02 resid=1.06e-01
progress N=2 step 14250/277470 5.1% t=95.67987 eta_s=57466.0 E=-1.01398916 P=0.81389020 dP=-0.18576869 r12=8.02302744 Vg=0.00008855 norm=1.00000000 rank=31/256 sv_max=6.39e+02 resid=1.14e-01
progress N=2 step 14500/277470 5.2% t=95.92987 eta_s=57378.2 E=-1.01291549 P=0.81336128 dP=-0.18629761 r12=8.02384821 Vg=0.00008924 norm=1.00000000 rank=31/256 sv_max=6.43e+02 resid=1.11e-01
progress N=2 step 14750/277470 5.3% t=96.17987 eta_s=57313.2 E=-1.01184583 P=0.81276915 dP=-0.18688974 r12=8.02439878 Vg=0.00009048 norm=1.00000000 rank=32/256 sv_max=6.36e+02 resid=9.57e-02
progress N=2 step 15000/277470 5.4% t=96.42987 eta_s=57268.2 E=-1.01077986 P=0.81211636 dP=-0.18754253 r12=8.02459857 Vg=0.00009191 norm=1.00000000 rank=32/256 sv_max=6.25e+02 resid=8.45e-02
progress N=2 step 15250/277470 5.5% t=96.67987 eta_s=57211.2 E=-1.00971737 P=0.81142061 dP=-0.18823828 r12=8.02459172 Vg=0.00009299 norm=1.00000000 rank=32/256 sv_max=6.32e+02 resid=8.04e-02
progress N=2 step 15500/277470 5.6% t=96.92987 eta_s=57162.7 E=-1.00865840 P=0.81066431 dP=-0.18899458 r12=8.02444592 Vg=0.00009492 norm=1.00000000 rank=32/256 sv_max=6.46e+02 resid=8.10e-02
progress N=2 step 15750/277470 5.7% t=97.17987 eta_s=57120.0 E=-1.00760354 P=0.80986025 dP=-0.18979864 r12=8.02426215 Vg=0.00009699 norm=1.00000000 rank=32/256 sv_max=6.51e+02 resid=8.84e-02
progress N=2 step 16000/277470 5.8% t=97.42987 eta_s=57073.1 E=-1.00655286 P=0.80903704 dP=-0.19062185 r12=8.02418568 Vg=0.00009772 norm=1.00000000 rank=32/256 sv_max=6.71e+02 resid=1.02e-01
progress N=2 step 16250/277470 5.9% t=97.67987 eta_s=57022.2 E=-1.00550667 P=0.80821306 dP=-0.19144583 r12=8.02419240 Vg=0.00009806 norm=1.00000000 rank=32/256 sv_max=6.80e+02 resid=1.07e-01
progress N=2 step 16500/277470 5.9% t=97.92987 eta_s=56969.0 E=-1.00446506 P=0.80738816 dP=-0.19227073 r12=8.02413398 Vg=0.00009917 norm=1.00000000 rank=32/256 sv_max=6.60e+02 resid=1.02e-01
progress N=2 step 16750/277470 6.0% t=98.17987 eta_s=56914.0 E=-1.00342798 P=0.80656896 dP=-0.19308993 r12=8.02388155 Vg=0.00010032 norm=1.00000000 rank=32/256 sv_max=6.50e+02 resid=9.84e-02
progress N=2 step 17000/277470 6.1% t=98.42987 eta_s=56859.0 E=-1.00239520 P=0.80577678 dP=-0.19388211 r12=8.02324707 Vg=0.00010035 norm=1.00000000 rank=31/256 sv_max=6.66e+02 resid=9.45e-02
progress N=2 step 17250/277470 6.2% t=98.67987 eta_s=56806.5 E=-1.00136631 P=0.80502468 dP=-0.19463421 r12=8.02196764 Vg=0.00009975 norm=1.00000000 rank=31/256 sv_max=6.70e+02 resid=9.09e-02
progress N=2 step 17500/277470 6.3% t=98.92987 eta_s=56726.6 E=-1.00034118 P=0.80433469 dP=-0.19532420 r12=8.02004248 Vg=0.00009949 norm=1.00000000 rank=32/256 sv_max=6.80e+02 resid=9.18e-02
progress N=2 step 17750/277470 6.4% t=99.17987 eta_s=56668.4 E=-0.99931988 P=0.80369247 dP=-0.19596642 r12=8.01777759 Vg=0.00009928 norm=1.00000000 rank=32/256 sv_max=7.07e+02 resid=9.82e-02
