job_id=606186
array_job_id=606186
array_task_id=1
job_name=vs3n2fu4
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma3p000
mode=gauss
sigma=3.0
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:55:16+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma3p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 5750/1005310 0.6% t=2.87500 eta_s=825547.2 E=-2.13999332 P=0.98620937 dP=-0.01344952 r12=8.04599239 Vg=0.00019334 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=6.74e-03
progress N=2 step 6000/1005310 0.6% t=3.00000 eta_s=825329.7 E=-2.13900542 P=0.98534047 dP=-0.01431842 r12=8.04593480 Vg=0.00019346 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=7.08e-03
progress N=2 step 6250/1005310 0.6% t=3.12500 eta_s=824770.9 E=-2.13798500 P=0.98453459 dP=-0.01512430 r12=8.04585898 Vg=0.00019362 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=7.49e-03
progress N=2 step 6500/1005310 0.6% t=3.25000 eta_s=824820.9 E=-2.13693025 P=0.98380052 dP=-0.01585837 r12=8.04577060 Vg=0.00019381 norm=1.00000000 rank=36/256 sv_max=1.06e+02 resid=7.86e-03
progress N=2 step 6750/1005310 0.7% t=3.37500 eta_s=824903.7 E=-2.13583928 P=0.98314515 dP=-0.01651374 r12=8.04568798 Vg=0.00019401 norm=1.00000000 rank=37/256 sv_max=1.01e+02 resid=8.17e-03
progress N=2 step 7000/1005310 0.7% t=3.50000 eta_s=824508.3 E=-2.13471000 P=0.98257252 dP=-0.01708637 r12=8.04562459 Vg=0.00019415 norm=1.00000000 rank=36/256 sv_max=1.01e+02 resid=8.96e-03
progress N=2 step 7250/1005310 0.7% t=3.62500 eta_s=824122.0 E=-2.13354014 P=0.98208457 dP=-0.01757432 r12=8.04558257 Vg=0.00019429 norm=1.00000000 rank=36/256 sv_max=1.04e+02 resid=1.00e-02
progress N=2 step 7500/1005310 0.7% t=3.75000 eta_s=823825.9 E=-2.13232770 P=0.98168038 dP=-0.01797851 r12=8.04555843 Vg=0.00019447 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=1.11e-02
progress N=2 step 7750/1005310 0.8% t=3.87500 eta_s=823676.8 E=-2.13107077 P=0.98135591 dP=-0.01830298 r12=8.04554683 Vg=0.00019468 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=1.25e-02
progress N=2 step 8000/1005310 0.8% t=4.00000 eta_s=823264.6 E=-2.12976751 P=0.98110485 dP=-0.01855404 r12=8.04554997 Vg=0.00019489 norm=1.00000000 rank=36/256 sv_max=1.00e+02 resid=1.50e-02
progress N=2 step 8250/1005310 0.8% t=4.12500 eta_s=822985.6 E=-2.12841645 P=0.98091907 dP=-0.01873982 r12=8.04556093 Vg=0.00019506 norm=1.00000000 rank=36/256 sv_max=1.05e+02 resid=1.85e-02
progress N=2 step 8500/1005310 0.8% t=4.25000 eta_s=822358.0 E=-2.12701629 P=0.98078967 dP=-0.01886922 r12=8.04557084 Vg=0.00019519 norm=1.00000000 rank=37/256 sv_max=1.07e+02 resid=2.30e-02
progress N=2 step 8750/1005310 0.9% t=4.37500 eta_s=822274.2 E=-2.12556595 P=0.98070444 dP=-0.01895445 r12=8.04556932 Vg=0.00019526 norm=1.00000000 rank=37/256 sv_max=1.05e+02 resid=2.98e-02
progress N=2 step 9000/1005310 0.9% t=4.50000 eta_s=821448.1 E=-2.12406510 P=0.98065006 dP=-0.01900883 r12=8.04555757 Vg=0.00019525 norm=1.00000000 rank=37/256 sv_max=9.89e+01 resid=4.17e-02
progress N=2 step 9250/1005310 0.9% t=4.62500 eta_s=820638.6 E=-2.12251367 P=0.98061377 dP=-0.01904512 r12=8.04554955 Vg=0.00019518 norm=1.00000000 rank=37/256 sv_max=9.82e+01 resid=5.81e-02
progress N=2 step 9500/1005310 0.9% t=4.75000 eta_s=820395.9 E=-2.12091189 P=0.98058407 dP=-0.01907482 r12=8.04555874 Vg=0.00019506 norm=1.00000000 rank=38/256 sv_max=1.04e+02 resid=5.97e-02
progress N=2 step 9750/1005310 1.0% t=4.87500 eta_s=819962.0 E=-2.11926053 P=0.98055106 dP=-0.01910783 r12=8.04557698 Vg=0.00019484 norm=1.00000000 rank=37/256 sv_max=1.06e+02 resid=4.78e-02
progress N=2 step 10000/1005310 1.0% t=5.00000 eta_s=819561.6 E=-2.11756039 P=0.98050385 dP=-0.01915504 r12=8.04560053 Vg=0.00019456 norm=1.00000000 rank=37/256 sv_max=1.02e+02 resid=3.70e-02
progress N=2 step 10250/1005310 1.0% t=5.12500 eta_s=818970.6 E=-2.11581257 P=0.98042929 dP=-0.01922960 r12=8.04563379 Vg=0.00019424 norm=1.00000000 rank=37/256 sv_max=9.64e+01 resid=3.04e-02
progress N=2 step 10500/1005310 1.0% t=5.25000 eta_s=818573.5 E=-2.11401872 P=0.98031410 dP=-0.01934479 r12=8.04567035 Vg=0.00019394 norm=1.00000000 rank=36/256 sv_max=9.61e+01 resid=2.42e-02
progress N=2 step 10750/1005310 1.1% t=5.37500 eta_s=818157.0 E=-2.11218062 P=0.98014852 dP=-0.01951037 r12=8.04571362 Vg=0.00019370 norm=1.00000000 rank=35/256 sv_max=1.00e+02 resid=2.00e-02
progress N=2 step 11000/1005310 1.1% t=5.50000 eta_s=817781.7 E=-2.11030024 P=0.97992564 dP=-0.01973325 r12=8.04576884 Vg=0.00019348 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=1.62e-02
progress N=2 step 11250/1005310 1.1% t=5.62500 eta_s=817447.6 E=-2.10837990 P=0.97964079 dP=-0.02001810 r12=8.04583088 Vg=0.00019327 norm=1.00000000 rank=35/256 sv_max=9.90e+01 resid=1.36e-02
progress N=2 step 11500/1005310 1.1% t=5.75000 eta_s=816816.1 E=-2.10642178 P=0.97928979 dP=-0.02036910 r12=8.04590428 Vg=0.00019303 norm=1.00000000 rank=35/256 sv_max=9.74e+01 resid=1.17e-02
progress N=2 step 11750/1005310 1.2% t=5.87500 eta_s=816435.3 E=-2.10442812 P=0.97886828 dP=-0.02079062 r12=8.04598722 Vg=0.00019278 norm=1.00000000 rank=35/256 sv_max=1.01e+02 resid=1.08e-02
progress N=2 step 12000/1005310 1.2% t=6.00000 eta_s=816185.1 E=-2.10240144 P=0.97837410 dP=-0.02128479 r12=8.04607086 Vg=0.00019261 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=9.98e-03
progress N=2 step 12250/1005310 1.2% t=6.12500 eta_s=815816.5 E=-2.10034436 P=0.97780735 dP=-0.02185154 r12=8.04614700 Vg=0.00019259 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=8.98e-03
progress N=2 step 12500/1005310 1.2% t=6.25000 eta_s=815540.8 E=-2.09825918 P=0.97716965 dP=-0.02248924 r12=8.04621827 Vg=0.00019267 norm=1.00000000 rank=35/256 sv_max=9.87e+01 resid=8.49e-03
progress N=2 step 12750/1005310 1.3% t=6.37500 eta_s=815217.8 E=-2.09614848 P=0.97646501 dP=-0.02319389 r12=8.04629241 Vg=0.00019283 norm=1.00000000 rank=35/256 sv_max=1.01e+02 resid=8.32e-03
progress N=2 step 13000/1005310 1.3% t=6.50000 eta_s=814890.8 E=-2.09401445 P=0.97570009 dP=-0.02395881 r12=8.04636721 Vg=0.00019304 norm=1.00000000 rank=35/256 sv_max=1.06e+02 resid=8.27e-03
progress N=2 step 13250/1005310 1.3% t=6.62500 eta_s=814546.6 E=-2.09185895 P=0.97488310 dP=-0.02477579 r12=8.04643722 Vg=0.00019333 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=8.23e-03
progress N=2 step 13500/1005310 1.3% t=6.75000 eta_s=814305.6 E=-2.08968405 P=0.97402310 dP=-0.02563579 r12=8.04650486 Vg=0.00019371 norm=1.00000000 rank=35/256 sv_max=9.76e+01 resid=8.24e-03
progress N=2 step 13750/1005310 1.4% t=6.87500 eta_s=814088.5 E=-2.08749153 P=0.97312982 dP=-0.02652907 r12=8.04657955 Vg=0.00019416 norm=1.00000000 rank=36/256 sv_max=9.36e+01 resid=8.18e-03
progress N=2 step 14000/1005310 1.4% t=7.00000 eta_s=813327.5 E=-2.08528273 P=0.97221377 dP=-0.02744512 r12=8.04666373 Vg=0.00019468 norm=1.00000000 rank=35/256 sv_max=9.99e+01 resid=8.69e-03
progress N=2 step 14250/1005310 1.4% t=7.12500 eta_s=812757.6 E=-2.08305887 P=0.97128813 dP=-0.02837076 r12=8.04674390 Vg=0.00019527 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=8.87e-03
