job_id=606189
array_job_id=606186
array_task_id=0
job_name=vs3n2fu4
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma2p000
mode=gauss
sigma=2.0
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:55:16+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma2p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/1005310 0.0% t=0.00000 eta_s=nan E=-2.15314890 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000212 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531489043 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000021220
progress N=2 step 250/1005310 0.0% t=0.12500 eta_s=685967.7 E=-2.15312540 P=0.99965667 dP=-0.00000222 r12=8.04559883 Vg=0.00000215 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.59e-02
progress N=2 step 500/1005310 0.0% t=0.25000 eta_s=690522.3 E=-2.15303979 P=0.99964204 dP=-0.00001685 r12=8.04560170 Vg=0.00000221 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=4.95e-02
progress N=2 step 750/1005310 0.1% t=0.37500 eta_s=687950.9 E=-2.15289281 P=0.99960298 dP=-0.00005591 r12=8.04558533 Vg=0.00000227 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=2.93e-02
progress N=2 step 1000/1005310 0.1% t=0.50000 eta_s=686385.5 E=-2.15268560 P=0.99952718 dP=-0.00013172 r12=8.04555459 Vg=0.00000229 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=2.02e-02
progress N=2 step 1250/1005310 0.1% t=0.62500 eta_s=683651.0 E=-2.15241968 P=0.99940209 dP=-0.00025680 r12=8.04551988 Vg=0.00000227 norm=1.00000000 rank=36/256 sv_max=1.08e+02 resid=1.59e-02
progress N=2 step 1500/1005310 0.1% t=0.75000 eta_s=684020.0 E=-2.15209693 P=0.99921588 dP=-0.00044301 r12=8.04548033 Vg=0.00000225 norm=1.00000000 rank=36/256 sv_max=1.09e+02 resid=1.33e-02
progress N=2 step 1750/1005310 0.2% t=0.87500 eta_s=684463.0 E=-2.15171959 P=0.99895981 dP=-0.00069908 r12=8.04542699 Vg=0.00000223 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.15e-02
progress N=2 step 2000/1005310 0.2% t=1.00000 eta_s=683447.1 E=-2.15129012 P=0.99862700 dP=-0.00103190 r12=8.04535862 Vg=0.00000225 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.01e-02
progress N=2 step 2250/1005310 0.2% t=1.12500 eta_s=683074.6 E=-2.15081102 P=0.99821266 dP=-0.00144623 r12=8.04528835 Vg=0.00000229 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=9.02e-03
progress N=2 step 2500/1005310 0.2% t=1.25000 eta_s=682721.7 E=-2.15028487 P=0.99771420 dP=-0.00194469 r12=8.04522793 Vg=0.00000232 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.56e-03
progress N=2 step 2750/1005310 0.3% t=1.37500 eta_s=682021.6 E=-2.14971422 P=0.99713181 dP=-0.00252709 r12=8.04517792 Vg=0.00000235 norm=1.00000000 rank=35/256 sv_max=1.09e+02 resid=8.26e-03
progress N=2 step 3000/1005310 0.3% t=1.50000 eta_s=680347.8 E=-2.14910166 P=0.99646781 dP=-0.00319109 r12=8.04513590 Vg=0.00000237 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=7.83e-03
progress N=2 step 3250/1005310 0.3% t=1.62500 eta_s=680561.6 E=-2.14844988 P=0.99572625 dP=-0.00393264 r12=8.04510937 Vg=0.00000238 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=7.63e-03
progress N=2 step 3500/1005310 0.3% t=1.75000 eta_s=680854.8 E=-2.14776137 P=0.99491262 dP=-0.00474627 r12=8.04511098 Vg=0.00000236 norm=1.00000000 rank=37/256 sv_max=1.06e+02 resid=7.50e-03
progress N=2 step 3750/1005310 0.4% t=1.87500 eta_s=680560.5 E=-2.14703844 P=0.99403553 dP=-0.00562336 r12=8.04514023 Vg=0.00000229 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=7.51e-03
progress N=2 step 4000/1005310 0.4% t=2.00000 eta_s=679429.6 E=-2.14628318 P=0.99310635 dP=-0.00655254 r12=8.04518510 Vg=0.00000219 norm=1.00000000 rank=35/256 sv_max=1.11e+02 resid=7.52e-03
progress N=2 step 4250/1005310 0.4% t=2.12500 eta_s=679514.3 E=-2.14549727 P=0.99213539 dP=-0.00752350 r12=8.04523473 Vg=0.00000211 norm=1.00000000 rank=36/256 sv_max=1.07e+02 resid=7.40e-03
progress N=2 step 4500/1005310 0.4% t=2.25000 eta_s=679660.3 E=-2.14468214 P=0.99113376 dP=-0.00852513 r12=8.04529050 Vg=0.00000208 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=7.17e-03
progress N=2 step 4750/1005310 0.5% t=2.37500 eta_s=679388.5 E=-2.14383888 P=0.99011521 dP=-0.00954368 r12=8.04535223 Vg=0.00000210 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=6.96e-03
progress N=2 step 5000/1005310 0.5% t=2.50000 eta_s=678469.4 E=-2.14296789 P=0.98909709 dP=-0.01056180 r12=8.04540978 Vg=0.00000215 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=6.70e-03
progress N=2 step 5250/1005310 0.5% t=2.62500 eta_s=677981.2 E=-2.14206910 P=0.98809693 dP=-0.01156196 r12=8.04544617 Vg=0.00000218 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=6.47e-03
progress N=2 step 5500/1005310 0.5% t=2.75000 eta_s=677699.6 E=-2.14114186 P=0.98712989 dP=-0.01252900 r12=8.04545822 Vg=0.00000217 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=6.53e-03
progress N=2 step 5750/1005310 0.6% t=2.87500 eta_s=677280.8 E=-2.14018499 P=0.98620736 dP=-0.01345153 r12=8.04545387 Vg=0.00000213 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=6.73e-03
progress N=2 step 6000/1005310 0.6% t=3.00000 eta_s=677137.7 E=-2.13919717 P=0.98533842 dP=-0.01432048 r12=8.04543758 Vg=0.00000212 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=7.07e-03
progress N=2 step 6250/1005310 0.6% t=3.12500 eta_s=677096.9 E=-2.13817683 P=0.98453255 dP=-0.01512634 r12=8.04540866 Vg=0.00000216 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=7.48e-03
progress N=2 step 6500/1005310 0.6% t=3.25000 eta_s=676616.8 E=-2.13712217 P=0.98379858 dP=-0.01586031 r12=8.04537132 Vg=0.00000223 norm=1.00000000 rank=36/256 sv_max=1.06e+02 resid=7.85e-03
progress N=2 step 6750/1005310 0.7% t=3.37500 eta_s=676477.6 E=-2.13603131 P=0.98314336 dP=-0.01651553 r12=8.04534243 Vg=0.00000231 norm=1.00000000 rank=37/256 sv_max=1.01e+02 resid=8.17e-03
progress N=2 step 7000/1005310 0.7% t=3.50000 eta_s=676412.2 E=-2.13490213 P=0.98257094 dP=-0.01708795 r12=8.04533403 Vg=0.00000236 norm=1.00000000 rank=36/256 sv_max=1.01e+02 resid=8.96e-03
progress N=2 step 7250/1005310 0.7% t=3.62500 eta_s=676117.5 E=-2.13373236 P=0.98208328 dP=-0.01757561 r12=8.04534690 Vg=0.00000238 norm=1.00000000 rank=36/256 sv_max=1.04e+02 resid=1.00e-02
