s,phi,g,inv_g2
0,0,1.3434857181706168,0.55403077823230173
1.9618155374412152e-05,0.0010471975511965976,1.3434766815254178,0.55403823142665776
3.9236574666322078e-05,0.0020943951023931952,1.3434676448802185,0.55404568477141314
5.8855257881055416e-05,0.0031415926535897929,1.3434586082350195,0.55405313826657143
7.8474205023937953e-05,0.0041887902047863905,1.3434495715898203,0.55406059191213708
9.8093416100295642e-05,0.0052359877559829881,1.3434405349446212,0.55406804570811374
0.00011771289111545454,0.0062831853071795857,1.3434314982994222,0.55407549965450575
0.00013733263007474085,0.0073303828583761834,1.343422461654223,0.55408295375131711
0.000156952632983481,0.008377580409572781,1.3434134250090239,0.5540904079985518
0.00017657289984700144,0.0094247779607693795,1.3434043883638247,0.55409786239621395
0.00019619343067062882,0.010471975511965976,1.3433953517186257,0.55410531694430754
0.00021581422545968992,0.011519173063162573,1.3433863150734267,0.55411277164283657
0.00023543528421951176,0.012566370614359171,1.3433772784282274,0.55412022649180526
0.00025505660695542139,0.01361356816555577,1.3433682417830284,0.55412768149121738
0.00027467819367274596,0.014660765716752367,1.3433592051378291,0.55413513664107739
0.00029430004437681293,0.015707963267948963,1.3433501684926301,0.55414259194138893
0.00031392215907294975,0.016755160819145562,1.3433411318474311,0.55415004739215612
0.00033354453776648408,0.01780235837034216,1.3433320952022318,0.5541575029933834
0.00035316718046274375,0.018849555921538759,1.3433230585570328,0.55416495874507421
0.00037279008716705663,0.019896753472735354,1.3433140219118336,0.55417241464723321
0.00039241325788475087,0.020943951023931952,1.3433049852666346,0.55417987069986385
0.00041203669262115467,0.021991148575128551,1.3432959486214355,0.55418732690297057
0.00043166039138159635,0.023038346126325146,1.3432869119762363,0.55419478325655747
0.00045128435417140454,0.024085543677521744,1.3432778753310373,0.55420223976062832
0.00047090858099590788,0.025132741228718343,1.343268838685838,0.55420969641518747
0.00049053307186043517,0.026179938779914941,1.343259802040639,0.55421715322023857
0.00051015809167475343,0.02722713633111154,1.3432326340357039,0.55423957245908406
0.00052978390537005088,0.028274333882308135,1.3432054660307688,0.55426199305831458
0.00054941051299450003,0.029321531433504733,1.3431782980258338,0.55428441501803982
0.00056903791459627761,0.030368728984701332,1.3431511300208987,0.55430683833837036
0.00058866611022356395,0.031415926535897927,1.3431239620159636,0.55432926301941599
0.0006082950999245437,0.032463124087094529,1.3430967940110285,0.55435168906128673
0.00062792488374740477,0.033510321638291124,1.3430696260060935,0.55437411646409296
0.0006475554617403395,0.034557519189487719,1.3430424580011584,0.55439654522794457
0.00066718683395154417,0.035604716740684321,1.3430152899962233,0.55441897535295181
0.00068681900042921816,0.036651914291880916,1.3429881219912883,0.55444140683922483
0.00070645196122156597,0.037699111843077518,1.3429609539863532,0.55446383968687374
0.00072608571637679481,0.038746309394274113,1.3429337859814181,0.55448627389600869
0.00074572026594311666,0.039793506945470708,1.3429066179764833,0.55450870946673969
0.00076535560996874707,0.04084070449666731,1.3428794499715482,0.55453114639917744
0.00078499174850190539,0.041887902047863905,1.3428522819666131,0.55455358469343174
0.00080462868159081498,0.0429350995990605,1.342825113961678,0.55457602434961284
0.00082426640928370343,0.043982297150257102,1.342797945956743,0.55459846536783108
0.00084390493162880159,0.045029494701453697,1.3427707779518079,0.5546209077481965
0.00086354424867434462,0.046076692252650292,1.3427436099468728,0.55464335149081956
0.00088318436046857162,0.047123889803846894,1.3427164419419377,0.55466579659581039
0.00090282526705972525,0.048171087355043489,1.3426892739370027,0.55468824306327924
0.0009224669684960526,0.049218284906240091,1.3426621059320676,0.55471069089333647
0.00094210946482580404,0.050265482457436686,1.3426349379271325,0.55473314008609231
0.00096175275609723437,0.051312680008633281,1.3426077699221974,0.55475559064165703
0.00098139684235860219,0.052359877559829883,1.3425806019172624,0.55477804256014107
0.0010010419915410229,0.053407075111026478,1.3425351272396822,0.55481562635124282
0.001020688471619103,0.05445427266222308,1.342489652562102,0.55485321396168064
0.0010403362827280929,0.055501470213419675,1.3424441778845217,0.55489080539197211
0.0010599854250032609,0.05654866776461627,1.3423987032069415,0.55492840064263482
0.0010796358985798948,0.057595865315812872,1.3423532285293613,0.55496599971418636
0.0010992877035932995,0.058643062867009467,1.3423077538517811,0.55500360260714465
0.0011189408401787988,0.059690260418206062,1.3422622791742009,0.55504120932202761
0.0011385953084717352,0.060737457969402664,1.3422168044966207,0.55507881985935303
0.0011582511086074686,0.061784655520599259,1.3421713298190405,0.55511643421963897
0.0011779082407213782,0.062831853071795854,1.3421258551414603,0.55515405240340376
0.001197566704948861,0.063879050622992456,1.3420803804638801,0.55519167441116546
0.0012172265014253323,0.064926248174189058,1.3420349057862999,0.55522930024344241
0.0012368876302862261,0.065973445725385646,1.3419894311087199,0.55526692990075288
0.0012565500916669947,0.067020643276582248,1.3419439564311397,0.55530456338361556
0.0012762138857031085,0.06806784082777885,1.3418984817535595,0.55534220069254903
0.0012958790125300562,0.069115038378975438,1.3418530070759793,0.55537984182807187
0.0013155454722833457,0.07016223593017204,1.3418075323983991,0.55541748679070291
0.0013352132650985022,0.071209433481368642,1.3417620577208189,0.55545513558096082
0.0013548823911110695,0.07225663103256523,1.3417165830432387,0.55549278819936476
0.0013745528504566105,0.073303828583761832,1.3416711083656585,0.55553044464643353
0.0013942246432707061,0.074351026134958434,1.3416256336880783,0.55556810492268627
0.001413897769688955,0.075398223686155036,1.3415801590104981,0.55560576902864234
0.0014335722298469749,0.076445421237351624,1.3415346843329179,0.55564343696482077
0.0014532480238804019,0.077492618788548226,1.3414892096553377,0.55568110873174104
0.0014729251519248903,0.078539816339744828,1.3414437349777575,0.55571878432992272
0.0014926038870323407,0.079587013890941416,1.3413796577628039,0.55577187856361487
0.0015122845023215461,0.080634211442138018,1.3413155805478503,0.55582498040672867
0.0015319669980619788,0.08168140899333462,1.3412515033328969,0.55587808986071796
0.0015516513745231627,0.082728606544531208,1.3411874261179433,0.55593120692703757
0.0015713376319746732,0.08377580409572781,1.3411233489029897,0.55598433160714233
0.001591025770686138,0.084823001646924412,1.3410592716880361,0.55603746390248732
0.0016107157909272347,0.085870199198121,1.3409951944730827,0.55609060381452802
0.0016304076929676942,0.086917396749317602,1.3409311172581291,0.55614375134472072
0.0016501014770772982,0.087964594300514204,1.3408670400431755,0.55619690649452147
0.0016697971435258793,0.089011791851710792,1.3408029628282219,0.55625006926538678
0.0016894946925833233,0.090058989402907394,1.3407388856132685,0.55630323965877349
0.0017091941245195661,0.091106186954103996,1.3406748083983149,0.5563564176761393
0.0017288954396045956,0.092153384505300584,1.3406107311833613,0.55640960331894174
0.001748598638108452,0.093200582056497186,1.3405466539684077,0.55646279658863862
0.0017683037203012261,0.094247779607693788,1.3404825767534543,0.55651599748668823
0.0017880106864530611,0.09529497715889039,1.3404184995385007,0.55656920601454951
0.0018077195368341513,0.096342174710086978,1.3403544223235471,0.55662242217368152
0.0018274302717147439,0.09738937226128358,1.3402903451085935,0.55667564596554342
0.001847142891365136,0.098436569812480182,1.3402262678936401,0.55672887739159493
0.0018668573960556772,0.09948376736367677,1.3401621906786865,0.55678211645329656
0.0018865737860567695,0.10053096491487337,1.3400981134637329,0.55683536315210835
0.0019062920616388656,0.10157816246606997,1.3400340362487793,0.55688861748949114
0.0019260122230724702,0.10262536001726656,1.3399699590338259,0.5569418794669061
0.0019457342706281405,0.10367255756846316,1.3399058818188723,0.55699514908581493
0.0019654582045764844,0.10471975511965977,1.3398418046039187,0.55704842634767926
0.0019851843053082419,0.10576695267085635,1.3397587029483298,0.55711753294432897
0.0020049128533065328,0.10681415022205296,1.3396756012927411,0.5571866524016682
0.0020246438490268059,0.10786134777324956,1.3395924996371522,0.5572557847228885
0.0020443772929246229,0.10890854532444616,1.3395093979815635,0.55732492991118199
0.002064113185455658,0.10995574287564275,1.3394262963259747,0.55739408796974232
0.0020838515270757002,0.11100294042683935,1.339343194670386,0.55746325890176351
0.0021035923182406496,0.11205013797803595,1.3392600930147971,0.55753244271044122
0.0021233355594065212,0.11309733552923254,1.3391769913592084,0.55760163939897134
0.0021430812510294414,0.11414453308042914,1.3390938897036195,0.55767084897055141
0.0021628293935656516,0.11519173063162574,1.3390107880480309,0.55774007142837967
0.0021825799874715048,0.11623892818282233,1.338927686392442,0.55780930677565554
0.0022023330332034698,0.11728612573401893,1.3388445847368533,0.55787855501557893
0.0022220885312181256,0.11833332328521554,1.3387614830812644,0.55794781615135158
0.0022418464819721666,0.11938052083641212,1.3386783814256757,0.5580170901861754
0.0022616068859224003,0.12042771838760873,1.3385952797700869,0.55808637712325382
0.0022813697435257476,0.12147491593880533,1.3385121781144982,0.55815567696579094
0.0023011350552392417,0.12252211349000192,1.3384290764589093,0.55822498971699219
0.0023209028215200322,0.12356931104119852,1.3383459748033206,0.55829431538006358
0.0023406730428253788,0.12461650859239512,1.3382628731477317,0.55836365395821264
0.0023604457196126564,0.12566370614359171,1.3381797714921431,0.55843300545464725
0.0023802208523393551,0.12671090369478832,1.3380966698365542,0.55850236987257706
0.0023999984414630753,0.12775810124598491,1.3380135681809655,0.55857174721521186
0.0024197784874415334,0.1288052987971815,1.3379304665253766,0.55864113748576338
0.0024395609907325593,0.12985249634837812,1.3378473648697879,0.55871054068744319
0.0024593459517940957,0.1308996938995747,1.3377642632141991,0.55877995682346504
0.0024791336607421174,0.13194689145077129,1.3376615815740867,0.55886574630173902
0.002498924407813418,0.13299408900196791,1.3375588999339743,0.55895155553841558
0.0025187181937077409,0.1340412865531645,1.3374562182938619,0.55903738453956275
0.0025385150191250469,0.13508848410436108,1.3373535366537495,0.5591232333112508
0.0025583148847655116,0.1361356816555577,1.3372508550136371,0.55920910185955253
0.0025781177913295245,0.13718287920675429,1.3371481733735247,0.55929499019054263
0.0025979237395176904,0.13823007675795088,1.3370454917334123,0.55938089831029836
0.0026177327300308307,0.13927727430914749,1.3369428100932998,0.55946682622489952
0.0026375447635699806,0.14032447186034408,1.3368401284531874,0.55955277394042791
0.0026573598408363912,0.14137166941154067,1.336737446813075,0.55963874146296777
0.0026771779625315295,0.14241886696273728,1.3366347651729626,0.55972472879860602
0.0026969991293570774,0.14346606451393387,1.3365320835328502,0.55981073595343123
0.002716823342014933,0.14451326206513046,1.3364294018927381,0.55989676293353452
0.0027366506012072105,0.14556045961632708,1.3363267202526257,0.55998280974501013
0.0027564809076362383,0.14660765716752366,1.3362240386125133,0.56006887639395386
0.0027763142620045615,0.14765485471872025,1.3361213569724009,0.56015496288646371
0.0027961506650149431,0.14870205226991687,1.3360186753322885,0.5602410692286407
0.0028159901173703586,0.14974924982111346,1.3359159936921761,0.5603271954265876
0.0028358326197740029,0.15079644737231007,1.3358133120520637,0.56041334148640976
0.0028556781729292846,0.15184364492350666,1.3357106304119513,0.56049950741421506
0.00287552677753983,0.15289084247470325,1.3356079487718389,0.56058569321611329
0.0028953784343094826,0.15393804002589986,1.3355052671317265,0.560671898898217
0.0029152331439423001,0.15498523757709645,1.3354025854916141,0.56075812446664097
0.0029350909071425586,0.15603243512829304,1.3352999038515017,0.5608443699275022
0.0029549517246147505,0.15707963267948966,1.3351972222113893,0.56093063528692011
0.0029748158988060218,0.15812683023068624,1.3350742618202411,0.56103396351137602
0.0029946837323167543,0.15917402778188283,1.3349513014290928,0.56113732028937713
0.0030145552261582058,0.16022122533307945,1.3348283410379447,0.56124070563144457
0.0030344303813420038,0.16126842288427604,1.3347053806467966,0.56134411954810481
0.0030543091988801518,0.16231562043547262,1.3345824202556482,0.56144756204988955
0.0030741916797850251,0.16336281798666924,1.3344594598645001,0.56155103314733446
0.0030940778250693707,0.16441001553786583,1.334336499473352,0.56165453285098055
0.0031139676357463115,0.16545721308906242,1.3342135390822036,0.56175806117137395
0.0031338611128293422,0.16650441064025903,1.3340905786910555,0.56186161811906488
0.0031537582573323312,0.16755160819145562,1.3339676182999074,0.56196520370460923
0.0031736590702695221,0.16859880574265221,1.3338446579087591,0.56206881793856722
0.0031935635526555311,0.16964600329384882,1.3337216975176109,0.56217246083150407
0.0032134717055053489,0.17069320084504541,1.3335987371264628,0.5622761323939901
0.0032333835298343407,0.171740398396242,1.3334757767353147,0.56237983263660019
0.0032532990266582475,0.17278759594743862,1.3333528163441664,0.56248356156991441
0.0032732181969931827,0.1738347934986352,1.3332298559530182,0.56258731920451721
0.0032931410418556356,0.17488199104983179,1.3331068955618701,0.56269110555099855
0.0033130675622624712,0.17592918860102841,1.3329839351707218,0.56279492061995284
0.0033329977592309289,0.176976386152225,1.3328609747795737,0.5628987644219795
0.0033529316337786242,0.17802358370342158,1.3327380143884255,0.56300263696768282
0.0033728691869235479,0.1790707812546182,1.3326150539972772,0.56310653826767221
0.0033928104196840657,0.18011797880581479,1.3324920936061291,0.56321046833256139
0.0034127553330789207,0.18116517635701138,1.332369133214981,0.56331442717296953
0.0034327039281272318,0.18221237390820799,1.3322461728238326,0.56341841479952082
0.0034526562058484929,0.18325957145940458,1.3321232124326845,0.56352243122284362
0.0034726124838985145,0.18430676901060117,1.3319791200009148,0.56364436062592638
