s,phi,g,inv_g2
0,0,0.674161565586,2.20024995647
4.24022633378e-05,0.0010471975512,0.674155612246,2.20028881662
8.4805275575e-05,0.00209439510239,0.674149658905,2.20032767781
0.000127209036731,0.00314159265359,0.674143705564,2.20036654002
0.000169613546827,0.00418879020479,0.674137752223,2.20040540326
0.000212018805881,0.00523598775598,0.674131798883,2.20044426754
0.000254424813914,0.00628318530718,0.674125845542,2.20048313284
0.000296831570946,0.00733038285838,0.674119892201,2.20052199917
0.000339239076996,0.00837758040957,0.67411393886,2.20056086653
0.000381647332084,0.00942477796077,0.67410798552,2.20059973492
0.00042405633623,0.010471975512,0.674102032179,2.20063860434
0.000466466089455,0.0115191730632,0.674096078838,2.2006774748
0.000508876591777,0.0125663706144,0.674090125497,2.20071634628
0.000551287843216,0.0136135681656,0.674084172157,2.20075521879
0.000593699843793,0.0146607657168,0.674078218816,2.20079409233
0.000636112593528,0.0157079632679,0.674072265475,2.2008329669
0.00067852609244,0.0167551608191,0.674066312134,2.2008718425
0.000720940590237,0.0178023583703,0.674056390731,2.20093663203
0.00076335683606,0.0188495559215,0.674038533202,2.20105325388
0.000805775329438,0.0198967534727,0.674020675672,2.201169885
0.000848196070551,0.0209439510239,0.674002818143,2.2012865254
0.000890619059575,0.0219911485751,0.673984960614,2.20140317506
0.000933044296691,0.0230383461263,0.673967103084,2.20151983399
0.000975471782077,0.0240855436775,0.673949245555,2.2016365022
0.00101790151591,0.0251327412287,0.673931388026,2.20175317969
0.00106033349837,0.0261799387799,0.673913530496,2.20186986645
0.00110276772964,0.0272271363311,0.673895672967,2.20198656248
0.00114520420989,0.0282743338823,0.673877815438,2.20210326779
0.00118764293931,0.0293215314335,0.673859957909,2.20221998238
0.00123008391807,0.0303687289847,0.673842100379,2.20233670626
0.00127252714635,0.0314159265359,0.67382424285,2.20245343941
0.00131497262433,0.0324631240871,0.673806385321,2.20257018184
0.00135742035219,0.0335103216383,0.673788527791,2.20268693355
0.00139987033011,0.0345575191895,0.673770670262,2.20280369455
0.00144232305802,0.0356047167407,0.673744881595,2.20297232947
0.00148477928585,0.0366519142919,0.67371512736,2.20316691974
0.00152723926396,0.0376991118431,0.673685373125,2.2033615358
0.00156970299284,0.0387463093943,0.673655618889,2.20355617764
0.00161217047299,0.0397935069455,0.673625864654,2.20375084528
0.00165464170491,0.0408407044967,0.673596110418,2.20394553871
0.00169711668909,0.0418879020479,0.673566356183,2.20414025794
0.00173959542603,0.0429350995991,0.673536601948,2.20433500298
0.00178207791622,0.0439822971503,0.673506847712,2.20452977384
0.00182456416018,0.0450294947015,0.673477093477,2.20472457051
0.00186705415838,0.0460766922527,0.673447339241,2.20491939299
