step,total,pct,t,eta,P,dP,r12,Vg,norm
17500,50266,34.8,175.0,2142.3,0.15910553,-0.84049097,8.12338774,0.0,1.0
17750,50266,35.3,177.5,2124.6,0.1562244,-0.84337211,8.122228,0.0,1.0
18000,50266,35.8,180.0,2107.0,0.15440676,-0.84518974,8.12074015,0.0,1.0
18250,50266,36.3,182.5,2089.8,0.15054172,-0.84905478,8.11766123,0.0,1.0
18500,50266,36.8,185.0,2074.0,0.14362321,-0.85597329,8.11225551,0.0,1.0
18750,50266,37.3,187.5,2057.0,0.13616499,-0.86343151,8.10520212,0.0,1.0
19000,50266,37.8,190.0,2040.8,0.12932128,-0.87027522,8.10021006,0.0,1.0
19250,50266,38.3,192.5,2024.9,0.12727913,-0.87231737,8.09843547,0.0,1.0
19500,50266,38.8,195.0,2007.6,0.12657739,-0.87301911,8.09945309,0.0,1.0
19750,50266,39.3,197.5,1990.0,0.12539957,-0.87419693,8.09875494,0.0,1.0
20000,50266,39.8,200.0,1972.5,0.11961749,-0.87997901,8.09475463,0.0,1.0
20250,50266,40.3,202.5,1955.1,0.11268608,-0.88691042,8.0895376,0.0,1.0
20500,50266,40.8,205.0,1937.7,0.10922242,-0.89037408,8.08775224,0.0,1.0
20750,50266,41.3,207.5,1920.3,0.10937747,-0.89021903,8.08915094,0.0,1.0
21000,50266,41.8,210.0,1903.4,0.10716612,-0.89243039,8.08832742,0.0,1.0
21250,50266,42.3,212.5,1887.5,0.09981481,-0.8997817,8.08395812,0.0,1.0
21500,50266,42.8,215.0,1871.1,0.09537719,-0.90421932,8.08192044,0.0,1.0
21750,50266,43.3,217.5,1855.4,0.09533449,-0.90426201,8.08353583,0.0,1.0
22000,50266,43.8,220.0,1839.7,0.09080489,-0.90879161,8.08161176,0.0,1.0
22250,50266,44.3,222.5,1824.0,0.08300671,-0.91658979,8.07826691,0.0,1.0
22500,50266,44.8,225.0,1808.1,0.0822685,-0.917328,8.07943884,0.0,1.0
22750,50266,45.3,227.5,1791.6,0.07676703,-0.92282947,8.07792935,0.0,1.0
23000,50266,45.8,230.0,1774.9,0.06867604,-0.93092047,8.07577008,0.0,1.0
23250,50266,46.3,232.5,1757.7,0.06749896,-0.93209754,8.07662854,0.0,1.0
23500,50266,46.8,235.0,1740.2,0.05615735,-0.94343915,8.07394943,0.0,1.0
23750,50266,47.2,237.5,1722.6,0.05360434,-0.94599216,8.07456899,0.0,1.0
24000,50266,47.7,240.0,1705.5,0.04173673,-0.95785977,8.07265267,0.0,1.0
24250,50266,48.2,242.5,1688.7,0.03720413,-0.96239238,8.07296663,0.0,1.0
24500,50266,48.7,245.0,1671.2,0.02341402,-0.97618249,8.07179519,0.0,1.0
24750,50266,49.2,247.5,1653.9,0.01900864,-0.98058786,8.07175513,0.0,1.0
25000,50266,49.7,250.0,1637.0,0.00218289,-0.99741361,8.07162567,0.0,1.0
25250,50266,50.2,252.5,1619.4,-0.0009977,-1.0005942,8.0712503,0.0,1.0
25500,50266,50.7,255.0,1601.5,-0.01868676,-1.01828326,8.07193149,0.0,1.0
25750,50266,51.2,257.5,1584.1,-0.02164865,-1.02124515,8.07176017,0.0,1.0
26000,50266,51.7,260.0,1566.9,-0.03718994,-1.03678645,8.07293473,0.0,1.0
26250,50266,52.2,262.5,1550.7,-0.04021435,-1.03981085,8.07272493,0.0,1.0
26500,50266,52.7,265.0,1534.7,-0.05321429,-1.0528108,8.07484601,0.0,1.0
26750,50266,53.2,267.5,1518.6,-0.05534434,-1.05494085,8.07414431,0.0,1.0
27000,50266,53.7,270.0,1502.9,-0.06645821,-1.06605471,8.07722911,0.0,1.0
27250,50266,54.2,272.5,1487.3,-0.0686537,-1.06825021,8.07634416,0.0,1.0
27500,50266,54.7,275.0,1471.6,-0.07536558,-1.07496208,8.07860902,0.0,1.0
27750,50266,55.2,277.5,1455.9,-0.0821578,-1.0817543,8.08026805,0.0,1.0
28000,50266,55.7,280.0,1440.2,-0.08243941,-1.08203591,8.07930297,0.0,1.0
28250,50266,56.2,282.5,1424.5,-0.08979549,-1.089392,8.08227873,0.0,1.0
28500,50266,56.7,285.0,1408.7,-0.0948524,-1.0944489,8.08501437,0.0,1.0
28750,50266,57.2,287.5,1393.0,-0.09531183,-1.09490833,8.08343539,0.0,1.0
29000,50266,57.7,290.0,1377.2,-0.09899576,-1.09859226,8.08554916,0.0,1.0
29250,50266,58.2,292.5,1361.4,-0.10601192,-1.10560843,8.08995195,0.0,1.0
29500,50266,58.7,295.0,1345.3,-0.10937306,-1.10896956,8.09154391,0.0,1.0
29750,50266,59.2,297.5,1328.7,-0.10891241,-1.10850891,8.09030557,0.0,1.0
30000,50266,59.7,300.0,1312.2,-0.11233724,-1.11193375,8.09213579,0.0,1.0
30250,50266,60.2,302.5,1295.6,-0.1181327,-1.1177292,8.09745566,0.0,1.0
