job_id=606191
array_job_id=606188
array_task_id=0
job_name=vs3n2fu2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma0p750
mode=gauss
sigma=0.75
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:56:41+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma0p750 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 5750/1005310 0.6% t=2.87500 eta_s=377547.9 E=-2.14018649 P=0.98620668 dP=-0.01345221 r12=8.04544501 Vg=0.00000071 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=6.73e-03
progress N=2 step 6000/1005310 0.6% t=3.00000 eta_s=377240.5 E=-2.13919869 P=0.98533770 dP=-0.01432119 r12=8.04542857 Vg=0.00000072 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=7.07e-03
progress N=2 step 6250/1005310 0.6% t=3.12500 eta_s=376757.8 E=-2.13817838 P=0.98453183 dP=-0.01512706 r12=8.04539974 Vg=0.00000073 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=7.48e-03
progress N=2 step 6500/1005310 0.6% t=3.25000 eta_s=375377.7 E=-2.13712375 P=0.98379789 dP=-0.01586100 r12=8.04536271 Vg=0.00000076 norm=1.00000000 rank=36/256 sv_max=1.06e+02 resid=7.85e-03
progress N=2 step 6750/1005310 0.7% t=3.37500 eta_s=375129.7 E=-2.13603291 P=0.98314273 dP=-0.01651616 r12=8.04533433 Vg=0.00000077 norm=1.00000000 rank=37/256 sv_max=1.01e+02 resid=8.17e-03
progress N=2 step 7000/1005310 0.7% t=3.50000 eta_s=375207.0 E=-2.13490376 P=0.98257039 dP=-0.01708851 r12=8.04532668 Vg=0.00000076 norm=1.00000000 rank=36/256 sv_max=1.01e+02 resid=8.96e-03
progress N=2 step 7250/1005310 0.7% t=3.62500 eta_s=375391.4 E=-2.13373402 P=0.98208282 dP=-0.01757607 r12=8.04534057 Vg=0.00000075 norm=1.00000000 rank=36/256 sv_max=1.04e+02 resid=1.00e-02
progress N=2 step 7500/1005310 0.7% t=3.75000 eta_s=375247.1 E=-2.13252169 P=0.98167913 dP=-0.01797976 r12=8.04537104 Vg=0.00000073 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=1.11e-02
progress N=2 step 7750/1005310 0.8% t=3.87500 eta_s=375257.0 E=-2.13126483 P=0.98135529 dP=-0.01830360 r12=8.04541162 Vg=0.00000073 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=1.25e-02
progress N=2 step 8000/1005310 0.8% t=4.00000 eta_s=375199.1 E=-2.12996161 P=0.98110501 dP=-0.01855388 r12=8.04546304 Vg=0.00000074 norm=1.00000000 rank=36/256 sv_max=1.00e+02 resid=1.50e-02
progress N=2 step 8250/1005310 0.8% t=4.12500 eta_s=375282.6 E=-2.12861056 P=0.98092009 dP=-0.01873880 r12=8.04551647 Vg=0.00000074 norm=1.00000000 rank=36/256 sv_max=1.04e+02 resid=1.85e-02
progress N=2 step 8500/1005310 0.8% t=4.25000 eta_s=374997.6 E=-2.12721035 P=0.98079155 dP=-0.01886734 r12=8.04556145 Vg=0.00000074 norm=1.00000000 rank=37/256 sv_max=1.07e+02 resid=2.29e-02
progress N=2 step 8750/1005310 0.9% t=4.37500 eta_s=374634.1 E=-2.12575994 P=0.98070702 dP=-0.01895187 r12=8.04558603 Vg=0.00000073 norm=1.00000000 rank=37/256 sv_max=1.04e+02 resid=2.97e-02
progress N=2 step 9000/1005310 0.9% t=4.50000 eta_s=374539.8 E=-2.12425897 P=0.98065306 dP=-0.01900583 r12=8.04559018 Vg=0.00000073 norm=1.00000000 rank=37/256 sv_max=9.89e+01 resid=4.15e-02
progress N=2 step 9250/1005310 0.9% t=4.62500 eta_s=374654.3 E=-2.12270739 P=0.98061685 dP=-0.01904204 r12=8.04558709 Vg=0.00000075 norm=1.00000000 rank=37/256 sv_max=9.83e+01 resid=5.77e-02
progress N=2 step 9500/1005310 0.9% t=4.75000 eta_s=374764.8 E=-2.12110543 P=0.98058686 dP=-0.01907203 r12=8.04558961 Vg=0.00000077 norm=1.00000000 rank=38/256 sv_max=1.04e+02 resid=5.94e-02
progress N=2 step 9750/1005310 1.0% t=4.87500 eta_s=374803.0 E=-2.11945390 P=0.98055319 dP=-0.01910570 r12=8.04559050 Vg=0.00000078 norm=1.00000000 rank=37/256 sv_max=1.06e+02 resid=4.79e-02
progress N=2 step 10000/1005310 1.0% t=5.00000 eta_s=374894.1 E=-2.11775359 P=0.98050499 dP=-0.01915390 r12=8.04558605 Vg=0.00000078 norm=1.00000000 rank=37/256 sv_max=1.02e+02 resid=3.71e-02
progress N=2 step 10250/1005310 1.0% t=5.12500 eta_s=374695.7 E=-2.11600564 P=0.98042917 dP=-0.01922972 r12=8.04558095 Vg=0.00000078 norm=1.00000000 rank=37/256 sv_max=9.64e+01 resid=3.05e-02
progress N=2 step 10500/1005310 1.0% t=5.25000 eta_s=374601.3 E=-2.11421170 P=0.98031241 dP=-0.01934648 r12=8.04557078 Vg=0.00000078 norm=1.00000000 rank=36/256 sv_max=9.62e+01 resid=2.44e-02
progress N=2 step 10750/1005310 1.1% t=5.37500 eta_s=374949.2 E=-2.11237359 P=0.98014496 dP=-0.01951393 r12=8.04555840 Vg=0.00000079 norm=1.00000000 rank=35/256 sv_max=1.00e+02 resid=2.01e-02
progress N=2 step 11000/1005310 1.1% t=5.50000 eta_s=375093.3 E=-2.11049326 P=0.97991995 dP=-0.01973894 r12=8.04555117 Vg=0.00000079 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=1.63e-02
progress N=2 step 11250/1005310 1.1% t=5.62500 eta_s=375305.6 E=-2.10857307 P=0.97963276 dP=-0.02002613 r12=8.04554585 Vg=0.00000077 norm=1.00000000 rank=35/256 sv_max=9.92e+01 resid=1.36e-02
progress N=2 step 11500/1005310 1.1% t=5.75000 eta_s=375638.9 E=-2.10661519 P=0.97927939 dP=-0.02037951 r12=8.04554922 Vg=0.00000074 norm=1.00000000 rank=35/256 sv_max=9.77e+01 resid=1.17e-02
progress N=2 step 11750/1005310 1.2% t=5.87500 eta_s=375949.1 E=-2.10462186 P=0.97885567 dP=-0.02080322 r12=8.04556205 Vg=0.00000070 norm=1.00000000 rank=35/256 sv_max=1.01e+02 resid=1.08e-02
progress N=2 step 12000/1005310 1.2% t=6.00000 eta_s=376231.6 E=-2.10259560 P=0.97835961 dP=-0.02129928 r12=8.04557819 Vg=0.00000070 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=9.97e-03
progress N=2 step 12250/1005310 1.2% t=6.12500 eta_s=376494.3 E=-2.10053899 P=0.97779145 dP=-0.02186744 r12=8.04559205 Vg=0.00000073 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=8.95e-03
progress N=2 step 12500/1005310 1.2% t=6.25000 eta_s=376339.4 E=-2.09845435 P=0.97715288 dP=-0.02250601 r12=8.04560841 Vg=0.00000078 norm=1.00000000 rank=35/256 sv_max=9.83e+01 resid=8.45e-03
progress N=2 step 12750/1005310 1.3% t=6.37500 eta_s=376526.8 E=-2.09634421 P=0.97644786 dP=-0.02321103 r12=8.04563672 Vg=0.00000082 norm=1.00000000 rank=35/256 sv_max=1.00e+02 resid=8.29e-03
progress N=2 step 13000/1005310 1.3% t=6.50000 eta_s=376781.1 E=-2.09421075 P=0.97568306 dP=-0.02397583 r12=8.04567609 Vg=0.00000084 norm=1.00000000 rank=35/256 sv_max=1.06e+02 resid=8.24e-03
