job_id=606188
array_job_id=606188
array_task_id=1
job_name=vs3n2fu2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma1p000
mode=gauss
sigma=1.0
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:56:41+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma1p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 0/1005310 0.0% t=0.00000 eta_s=nan E=-2.15315024 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000079 norm=1.00000000 rank=-1/256 sv_max=nan resid=nan
initial t=0.00000 tau=0.00000 E=-2.1531502357 <X>/a=0.9996588910 norm=1.0000000000 V_gauss=0.0000007907
progress N=2 step 250/1005310 0.0% t=0.12500 eta_s=405821.8 E=-2.15312673 P=0.99965667 dP=-0.00000222 r12=8.04559880 Vg=0.00000080 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.62e-02
progress N=2 step 500/1005310 0.0% t=0.25000 eta_s=410511.5 E=-2.15304112 P=0.99964204 dP=-0.00001685 r12=8.04560160 Vg=0.00000083 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=4.95e-02
progress N=2 step 750/1005310 0.1% t=0.37500 eta_s=409332.7 E=-2.15289414 P=0.99960297 dP=-0.00005592 r12=8.04558509 Vg=0.00000086 norm=1.00000000 rank=36/256 sv_max=1.13e+02 resid=2.94e-02
progress N=2 step 1000/1005310 0.1% t=0.50000 eta_s=410322.5 E=-2.15268693 P=0.99952716 dP=-0.00013173 r12=8.04555413 Vg=0.00000088 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=2.02e-02
progress N=2 step 1250/1005310 0.1% t=0.62500 eta_s=411012.4 E=-2.15242101 P=0.99940207 dP=-0.00025682 r12=8.04551915 Vg=0.00000089 norm=1.00000000 rank=36/256 sv_max=1.08e+02 resid=1.59e-02
progress N=2 step 1500/1005310 0.1% t=0.75000 eta_s=411347.4 E=-2.15209826 P=0.99921585 dP=-0.00044304 r12=8.04547927 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=1.09e+02 resid=1.32e-02
progress N=2 step 1750/1005310 0.2% t=0.87500 eta_s=409976.7 E=-2.15172092 P=0.99895977 dP=-0.00069912 r12=8.04542554 Vg=0.00000095 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.15e-02
progress N=2 step 2000/1005310 0.2% t=1.00000 eta_s=407967.5 E=-2.15129145 P=0.99862696 dP=-0.00103194 r12=8.04535674 Vg=0.00000101 norm=1.00000000 rank=36/256 sv_max=1.11e+02 resid=1.01e-02
progress N=2 step 2250/1005310 0.2% t=1.12500 eta_s=407491.3 E=-2.15081235 P=0.99821262 dP=-0.00144627 r12=8.04528599 Vg=0.00000106 norm=1.00000000 rank=37/256 sv_max=1.10e+02 resid=9.02e-03
progress N=2 step 2500/1005310 0.2% t=1.25000 eta_s=407739.3 E=-2.15028620 P=0.99771415 dP=-0.00194474 r12=8.04522507 Vg=0.00000111 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=8.56e-03
progress N=2 step 2750/1005310 0.3% t=1.37500 eta_s=407952.0 E=-2.14971555 P=0.99713175 dP=-0.00252714 r12=8.04517451 Vg=0.00000113 norm=1.00000000 rank=35/256 sv_max=1.09e+02 resid=8.26e-03
progress N=2 step 3000/1005310 0.3% t=1.50000 eta_s=408169.4 E=-2.14910299 P=0.99646773 dP=-0.00319116 r12=8.04513191 Vg=0.00000116 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=7.83e-03
progress N=2 step 3250/1005310 0.3% t=1.62500 eta_s=408219.4 E=-2.14845121 P=0.99572615 dP=-0.00393274 r12=8.04510481 Vg=0.00000117 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=7.63e-03
progress N=2 step 3500/1005310 0.3% t=1.75000 eta_s=407610.6 E=-2.14776269 P=0.99491250 dP=-0.00474639 r12=8.04510589 Vg=0.00000116 norm=1.00000000 rank=37/256 sv_max=1.06e+02 resid=7.50e-03
progress N=2 step 3750/1005310 0.4% t=1.87500 eta_s=407709.9 E=-2.14703977 P=0.99403539 dP=-0.00562350 r12=8.04513467 Vg=0.00000111 norm=1.00000000 rank=35/256 sv_max=1.10e+02 resid=7.51e-03
progress N=2 step 4000/1005310 0.4% t=2.00000 eta_s=407811.6 E=-2.14628450 P=0.99310620 dP=-0.00655269 r12=8.04517914 Vg=0.00000104 norm=1.00000000 rank=35/256 sv_max=1.11e+02 resid=7.52e-03
progress N=2 step 4250/1005310 0.4% t=2.12500 eta_s=407860.6 E=-2.14549858 P=0.99213522 dP=-0.00752367 r12=8.04522842 Vg=0.00000097 norm=1.00000000 rank=36/256 sv_max=1.07e+02 resid=7.40e-03
progress N=2 step 4500/1005310 0.4% t=2.25000 eta_s=407893.8 E=-2.14468346 P=0.99113355 dP=-0.00852534 r12=8.04528385 Vg=0.00000092 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=7.17e-03
progress N=2 step 4750/1005310 0.5% t=2.37500 eta_s=407899.0 E=-2.14384019 P=0.99011493 dP=-0.00954396 r12=8.04534524 Vg=0.00000090 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=6.96e-03
progress N=2 step 5000/1005310 0.5% t=2.50000 eta_s=407915.9 E=-2.14296921 P=0.98909673 dP=-0.01056216 r12=8.04540241 Vg=0.00000090 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=6.71e-03
progress N=2 step 5250/1005310 0.5% t=2.62500 eta_s=407937.1 E=-2.14207043 P=0.98809648 dP=-0.01156241 r12=8.04543840 Vg=0.00000091 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=6.47e-03
progress N=2 step 5500/1005310 0.5% t=2.75000 eta_s=407428.9 E=-2.14114319 P=0.98712936 dP=-0.01252953 r12=8.04545009 Vg=0.00000090 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=6.53e-03
progress N=2 step 5750/1005310 0.6% t=2.87500 eta_s=407414.3 E=-2.14018634 P=0.98620677 dP=-0.01345212 r12=8.04544550 Vg=0.00000087 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=6.73e-03
progress N=2 step 6000/1005310 0.6% t=3.00000 eta_s=406872.3 E=-2.13919854 P=0.98533781 dP=-0.01432108 r12=8.04542917 Vg=0.00000087 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=7.07e-03
progress N=2 step 6250/1005310 0.6% t=3.12500 eta_s=406532.1 E=-2.13817823 P=0.98453195 dP=-0.01512694 r12=8.04540044 Vg=0.00000088 norm=1.00000000 rank=35/256 sv_max=1.08e+02 resid=7.48e-03
progress N=2 step 6500/1005310 0.6% t=3.25000 eta_s=406598.8 E=-2.13712359 P=0.98379802 dP=-0.01586087 r12=8.04536350 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=1.06e+02 resid=7.85e-03
progress N=2 step 6750/1005310 0.7% t=3.37500 eta_s=406669.3 E=-2.13603275 P=0.98314287 dP=-0.01651603 r12=8.04533520 Vg=0.00000093 norm=1.00000000 rank=37/256 sv_max=1.01e+02 resid=8.17e-03
progress N=2 step 7000/1005310 0.7% t=3.50000 eta_s=406559.0 E=-2.13490360 P=0.98257052 dP=-0.01708837 r12=8.04532763 Vg=0.00000093 norm=1.00000000 rank=36/256 sv_max=1.01e+02 resid=8.96e-03
progress N=2 step 7250/1005310 0.7% t=3.62500 eta_s=406448.5 E=-2.13373386 P=0.98208296 dP=-0.01757594 r12=8.04534157 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=1.04e+02 resid=1.00e-02
progress N=2 step 7500/1005310 0.7% t=3.75000 eta_s=406179.8 E=-2.13252151 P=0.98167926 dP=-0.01797963 r12=8.04537204 Vg=0.00000090 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=1.11e-02
progress N=2 step 7750/1005310 0.8% t=3.87500 eta_s=406235.7 E=-2.13126465 P=0.98135542 dP=-0.01830347 r12=8.04541256 Vg=0.00000090 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=1.25e-02
progress N=2 step 8000/1005310 0.8% t=4.00000 eta_s=406110.3 E=-2.12996143 P=0.98110512 dP=-0.01855377 r12=8.04546382 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=1.00e+02 resid=1.50e-02
progress N=2 step 8250/1005310 0.8% t=4.12500 eta_s=405495.4 E=-2.12861038 P=0.98092017 dP=-0.01873872 r12=8.04551701 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=1.04e+02 resid=1.85e-02
progress N=2 step 8500/1005310 0.8% t=4.25000 eta_s=405471.5 E=-2.12721017 P=0.98079160 dP=-0.01886729 r12=8.04556168 Vg=0.00000090 norm=1.00000000 rank=37/256 sv_max=1.07e+02 resid=2.29e-02
progress N=2 step 8750/1005310 0.9% t=4.37500 eta_s=405474.5 E=-2.12575976 P=0.98070704 dP=-0.01895185 r12=8.04558591 Vg=0.00000089 norm=1.00000000 rank=37/256 sv_max=1.04e+02 resid=2.97e-02
progress N=2 step 9000/1005310 0.9% t=4.50000 eta_s=405493.6 E=-2.12425880 P=0.98065306 dP=-0.01900583 r12=8.04558971 Vg=0.00000089 norm=1.00000000 rank=37/256 sv_max=9.89e+01 resid=4.15e-02
progress N=2 step 9250/1005310 0.9% t=4.62500 eta_s=405524.4 E=-2.12270722 P=0.98061682 dP=-0.01904207 r12=8.04558630 Vg=0.00000091 norm=1.00000000 rank=37/256 sv_max=9.83e+01 resid=5.77e-02
progress N=2 step 9500/1005310 0.9% t=4.75000 eta_s=405484.2 E=-2.12110527 P=0.98058681 dP=-0.01907208 r12=8.04558853 Vg=0.00000093 norm=1.00000000 rank=38/256 sv_max=1.04e+02 resid=5.94e-02
progress N=2 step 9750/1005310 1.0% t=4.87500 eta_s=405408.0 E=-2.11945375 P=0.98055312 dP=-0.01910577 r12=8.04558918 Vg=0.00000094 norm=1.00000000 rank=37/256 sv_max=1.06e+02 resid=4.79e-02
progress N=2 step 10000/1005310 1.0% t=5.00000 eta_s=405423.1 E=-2.11775346 P=0.98050491 dP=-0.01915398 r12=8.04558457 Vg=0.00000092 norm=1.00000000 rank=37/256 sv_max=1.02e+02 resid=3.71e-02
progress N=2 step 10250/1005310 1.0% t=5.12500 eta_s=405282.4 E=-2.11600552 P=0.98042910 dP=-0.01922979 r12=8.04557939 Vg=0.00000091 norm=1.00000000 rank=37/256 sv_max=9.64e+01 resid=3.05e-02
progress N=2 step 10500/1005310 1.0% t=5.25000 eta_s=405105.1 E=-2.11421160 P=0.98031237 dP=-0.01934652 r12=8.04556927 Vg=0.00000091 norm=1.00000000 rank=36/256 sv_max=9.62e+01 resid=2.44e-02
progress N=2 step 10750/1005310 1.1% t=5.37500 eta_s=405010.0 E=-2.11237349 P=0.98014497 dP=-0.01951392 r12=8.04555710 Vg=0.00000093 norm=1.00000000 rank=35/256 sv_max=1.00e+02 resid=2.01e-02
progress N=2 step 11000/1005310 1.1% t=5.50000 eta_s=404947.0 E=-2.11049317 P=0.97992003 dP=-0.01973886 r12=8.04555031 Vg=0.00000094 norm=1.00000000 rank=35/256 sv_max=1.02e+02 resid=1.63e-02
progress N=2 step 11250/1005310 1.1% t=5.62500 eta_s=404865.6 E=-2.10857298 P=0.97963293 dP=-0.02002596 r12=8.04554565 Vg=0.00000093 norm=1.00000000 rank=35/256 sv_max=9.92e+01 resid=1.36e-02
