job_id=605677
array_job_id=605676
array_task_id=0
job_name=vs3n2f20A
partition=epyc
node_list=cent
submit_dir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=16
mem_per_node=16384
planning_estimate=K32 local-dt fine20 split A, 241279 steps; free about 23.5 h, gauss conservatively about 53.6 h per width
start_time=2026-07-09T14:56:46+08:00
case_index=0
mode=free
sigma=0
binary=./build/ecg1d_vs3_n2_dt001_fine20_full
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_fine20_free lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=160
progress N=2 step 500/241277 0.2% t=5.00000 eta_s=52698.9 E=-2.11774033 P=0.98042781 dP=-0.01923108 r12=8.04589867 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=1.82e-02
progress N=2 step 525/241277 0.2% t=5.25000 eta_s=52727.3 E=-2.11420170 P=0.98018545 dP=-0.01947344 r12=8.04586024 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=1.02e-02
progress N=2 step 550/241277 0.2% t=5.50000 eta_s=52750.5 E=-2.11049110 P=0.97976007 dP=-0.01989882 r12=8.04567611 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=1.50e-02
progress N=2 step 575/241277 0.2% t=5.75000 eta_s=52773.3 E=-2.10662524 P=0.97909257 dP=-0.02056632 r12=8.04556795 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.07e-02
progress N=2 step 600/241277 0.2% t=6.00000 eta_s=52794.3 E=-2.10261879 P=0.97817872 dP=-0.02148017 r12=8.04556673 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=9.09e-03
progress N=2 step 625/241277 0.3% t=6.25000 eta_s=52815.2 E=-2.09848586 P=0.97702170 dP=-0.02263719 r12=8.04559262 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=6.30e-03
progress N=2 step 650/241277 0.3% t=6.50000 eta_s=52831.1 E=-2.09424436 P=0.97561430 dP=-0.02404459 r12=8.04565829 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=7.38e-03
progress N=2 step 675/241277 0.3% t=6.75000 eta_s=52830.2 E=-2.08991295 P=0.97398022 dP=-0.02567867 r12=8.04572877 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=7.88e-03
progress N=2 step 700/241277 0.3% t=7.00000 eta_s=52781.0 E=-2.08550951 P=0.97219327 dP=-0.02746562 r12=8.04595933 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=8.40e-03
progress N=2 step 725/241277 0.3% t=7.25000 eta_s=52735.8 E=-2.08104656 P=0.97035546 dP=-0.02930343 r12=8.04628607 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=7.41e-03
progress N=2 step 750/241277 0.3% t=7.50000 eta_s=52697.2 E=-2.07652718 P=0.96857202 dP=-0.03108688 r12=8.04632639 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.02e-02
progress N=2 step 775/241277 0.3% t=7.75000 eta_s=52664.1 E=-2.07194821 P=0.96693157 dP=-0.03272732 r12=8.04640177 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.18e-02
progress N=2 step 800/241277 0.3% t=8.00000 eta_s=52626.1 E=-2.06730236 P=0.96551839 dP=-0.03414050 r12=8.04646596 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=5.40e-03
progress N=2 step 825/241277 0.3% t=8.25000 eta_s=52594.9 E=-2.06257907 P=0.96438863 dP=-0.03527026 r12=8.04637726 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=9.70e-03
progress N=2 step 850/241277 0.4% t=8.50000 eta_s=52565.7 E=-2.05776560 P=0.96355819 dP=-0.03610070 r12=8.04635884 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.71e+00 resid=1.30e-02
progress N=2 step 875/241277 0.4% t=8.75000 eta_s=52538.2 E=-2.05285050 P=0.96300622 dP=-0.03665267 r12=8.04644558 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=7.00e-03
progress N=2 step 900/241277 0.4% t=9.00000 eta_s=52511.8 E=-2.04782671 P=0.96268014 dP=-0.03697875 r12=8.04650232 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=1.18e-02
progress N=2 step 925/241277 0.4% t=9.25000 eta_s=52489.7 E=-2.04269058 P=0.96252968 dP=-0.03712921 r12=8.04656679 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=1.53e-02
progress N=2 step 950/241277 0.4% t=9.50000 eta_s=52471.0 E=-2.03744314 P=0.96246461 dP=-0.03719429 r12=8.04680636 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=1.07e-02
progress N=2 step 975/241277 0.4% t=9.75000 eta_s=52448.4 E=-2.03208950 P=0.96240960 dP=-0.03724930 r12=8.04687828 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.71e+00 resid=1.11e-02
progress N=2 step 1000/241277 0.4% t=10.00000 eta_s=52427.1 E=-2.02663582 P=0.96231412 dP=-0.03734477 r12=8.04677357 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.71e+00 resid=9.49e-03
progress N=2 step 1025/241277 0.4% t=10.25000 eta_s=52404.0 E=-2.02108963 P=0.96212207 dP=-0.03753682 r12=8.04662658 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.70e+00 resid=7.65e-03
progress N=2 step 1050/241277 0.4% t=10.50000 eta_s=52385.0 E=-2.01545722 P=0.96177312 dP=-0.03788577 r12=8.04637649 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.70e+00 resid=9.58e-03
progress N=2 step 1075/241277 0.4% t=10.75000 eta_s=52369.4 E=-2.00974938 P=0.96119249 dP=-0.03846640 r12=8.04640960 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.70e+00 resid=9.32e-03
progress N=2 step 1100/241277 0.5% t=11.00000 eta_s=52351.3 E=-2.00398131 P=0.96034387 dP=-0.03931503 r12=8.04648507 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.70e+00 resid=6.08e-03
progress N=2 step 1125/241277 0.5% t=11.25000 eta_s=52334.5 E=-1.99817087 P=0.95920716 dP=-0.04045174 r12=8.04656142 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.70e+00 resid=1.18e-02
progress N=2 step 1150/241277 0.5% t=11.50000 eta_s=52316.9 E=-1.99233704 P=0.95781005 dP=-0.04184884 r12=8.04673130 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.70e+00 resid=8.60e-03
progress N=2 step 1175/241277 0.5% t=11.75000 eta_s=52300.3 E=-1.98649609 P=0.95620899 dP=-0.04344991 r12=8.04711255 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=7.48e-03
progress N=2 step 1200/241277 0.5% t=12.00000 eta_s=52285.2 E=-1.98065923 P=0.95451402 dP=-0.04514487 r12=8.04757472 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=6.43e-03
