job_id=605827
array_job_id=605823
array_task_id=0
job_name=vs3n2st3
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p250
mode=gauss
sigma=1.25
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p250 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 5750/277470 2.1% t=57.50000 eta_s=56413.9 E=-1.24309617 P=0.87734751 dP=-0.12231138 r12=8.06638834 Vg=0.00001244 norm=1.00000000 rank=33/256 sv_max=3.48e+02 resid=1.11e-01
progress N=2 step 6000/277470 2.2% t=60.00000 eta_s=56372.5 E=-1.22235394 P=0.87453748 dP=-0.12512141 r12=8.05436530 Vg=0.00002040 norm=1.00000000 rank=32/256 sv_max=4.51e+02 resid=1.79e-01
progress N=2 step 6250/277470 2.3% t=62.50000 eta_s=56352.2 E=-1.20270997 P=0.87145000 dP=-0.12820889 r12=8.05819811 Vg=0.00001665 norm=1.00000000 rank=32/256 sv_max=5.93e+02 resid=7.11e-02
progress N=2 step 6500/277470 2.3% t=65.00000 eta_s=56339.7 E=-1.18419123 P=0.86497456 dP=-0.13468433 r12=8.06008723 Vg=0.00001022 norm=1.00000000 rank=32/256 sv_max=7.66e+02 resid=6.41e-02
progress N=2 step 6750/277470 2.4% t=67.50000 eta_s=56284.2 E=-1.16674426 P=0.86086082 dP=-0.13879807 r12=8.07367455 Vg=0.00000498 norm=1.00000000 rank=31/256 sv_max=1.02e+03 resid=1.05e-01
progress N=2 step 7000/277470 2.5% t=70.00000 eta_s=56267.4 E=-1.15009693 P=0.85871013 dP=-0.14094876 r12=8.05952137 Vg=0.00000189 norm=1.00000000 rank=30/256 sv_max=1.21e+03 resid=1.33e-01
progress N=2 step 7250/277470 2.6% t=72.50000 eta_s=56226.4 E=-1.13412686 P=0.85787353 dP=-0.14178536 r12=8.05558166 Vg=0.00000327 norm=1.00000000 rank=30/256 sv_max=1.32e+03 resid=1.91e-01
progress N=2 step 7500/277470 2.7% t=75.00000 eta_s=56205.2 E=-1.11874010 P=0.85593951 dP=-0.14371939 r12=8.04572659 Vg=0.00000681 norm=1.00000000 rank=30/256 sv_max=1.33e+03 resid=1.18e-01
progress N=2 step 7750/277470 2.8% t=77.50000 eta_s=56179.2 E=-1.10404106 P=0.84977097 dP=-0.14988792 r12=8.05981872 Vg=0.00000981 norm=1.00000000 rank=30/256 sv_max=1.37e+03 resid=1.18e-01
progress N=2 step 8000/277470 2.9% t=80.00000 eta_s=56135.3 E=-1.09005132 P=0.84395039 dP=-0.15570850 r12=8.06852055 Vg=0.00001060 norm=1.00000000 rank=30/256 sv_max=1.49e+03 resid=8.94e-02
progress N=2 step 8250/277470 3.0% t=82.50000 eta_s=56107.3 E=-1.07673166 P=0.83730173 dP=-0.16235716 r12=8.07016071 Vg=0.00000809 norm=1.00000000 rank=31/256 sv_max=1.51e+03 resid=1.69e-01
progress N=2 step 8500/277470 3.1% t=85.00000 eta_s=56008.4 E=-1.06395274 P=0.83481129 dP=-0.16484760 r12=8.05582442 Vg=0.00000539 norm=1.00000000 rank=30/256 sv_max=1.65e+03 resid=1.72e-01
progress N=2 step 8750/277470 3.2% t=87.50000 eta_s=55950.8 E=-1.05158777 P=0.83163664 dP=-0.16802226 r12=8.03464825 Vg=0.00000562 norm=1.00000000 rank=30/256 sv_max=1.64e+03 resid=2.21e-01
progress N=2 step 9000/277470 3.2% t=90.00000 eta_s=55916.4 E=-1.03959987 P=0.82923441 dP=-0.17042448 r12=8.02237997 Vg=0.00000951 norm=1.00000000 rank=30/256 sv_max=1.67e+03 resid=1.66e-01
progress N=2 step 9250/277470 3.3% t=90.67987 eta_s=55808.1 E=-1.03640112 P=0.82850672 dP=-0.17115217 r12=8.01738342 Vg=0.00001086 norm=1.00000000 rank=30/256 sv_max=1.66e+03 resid=1.46e-01
progress N=2 step 9500/277470 3.4% t=90.92987 eta_s=55741.8 E=-1.03523168 P=0.82814594 dP=-0.17151295 r12=8.01586525 Vg=0.00001135 norm=1.00000000 rank=30/256 sv_max=1.66e+03 resid=1.41e-01
progress N=2 step 9750/277470 3.5% t=91.17987 eta_s=55670.5 E=-1.03406601 P=0.82771588 dP=-0.17194301 r12=8.01471077 Vg=0.00001179 norm=1.00000000 rank=30/256 sv_max=1.66e+03 resid=1.39e-01
progress N=2 step 10000/277470 3.6% t=91.42987 eta_s=55620.1 E=-1.03290428 P=0.82720901 dP=-0.17244988 r12=8.01397038 Vg=0.00001215 norm=1.00000000 rank=30/256 sv_max=1.65e+03 resid=1.39e-01
progress N=2 step 10250/277470 3.7% t=91.67987 eta_s=55558.9 E=-1.03174663 P=0.82662723 dP=-0.17303166 r12=8.01366751 Vg=0.00001247 norm=1.00000000 rank=30/256 sv_max=1.64e+03 resid=1.36e-01
