job_id=605451
array_job_id=605450
array_task_id=0
case_label=free
mode=free
sigma_gauss=none
job_name=vs3n2k32A
partition=epyc
node_list=fov
submit_dir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=16
mem_per_node=16384
time_limit=unset
planning_estimate=K32 local-dt split A, 140747 steps; free about 13.7 h, gauss conservatively about 31.3 h per width
start_time=2026-07-09T12:30:39+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_free lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=160
progress N=2 step 600/140747 0.4% t=6.00000 eta_s=30389.8 E=-2.10261879 P=0.97817872 dP=-0.02148017 r12=8.04556673 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=9.09e-03
progress N=2 step 625/140747 0.4% t=6.25000 eta_s=30393.2 E=-2.09848586 P=0.97702170 dP=-0.02263719 r12=8.04559262 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=6.30e-03
progress N=2 step 650/140747 0.5% t=6.50000 eta_s=30397.2 E=-2.09424436 P=0.97561430 dP=-0.02404459 r12=8.04565829 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=7.38e-03
progress N=2 step 675/140747 0.5% t=6.75000 eta_s=30398.5 E=-2.08991295 P=0.97398022 dP=-0.02567867 r12=8.04572877 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=7.88e-03
progress N=2 step 700/140747 0.5% t=7.00000 eta_s=30401.7 E=-2.08550951 P=0.97219327 dP=-0.02746562 r12=8.04595933 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=8.40e-03
progress N=2 step 725/140747 0.5% t=7.25000 eta_s=30404.0 E=-2.08104656 P=0.97035546 dP=-0.02930343 r12=8.04628607 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=7.41e-03
progress N=2 step 750/140747 0.5% t=7.50000 eta_s=30405.1 E=-2.07652718 P=0.96857202 dP=-0.03108688 r12=8.04632639 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.02e-02
progress N=2 step 775/140747 0.6% t=7.75000 eta_s=30407.4 E=-2.07194821 P=0.96693157 dP=-0.03272732 r12=8.04640177 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.18e-02
progress N=2 step 800/140747 0.6% t=8.00000 eta_s=30406.2 E=-2.06730236 P=0.96551839 dP=-0.03414050 r12=8.04646596 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=5.40e-03
progress N=2 step 825/140747 0.6% t=8.25000 eta_s=30405.8 E=-2.06257907 P=0.96438863 dP=-0.03527026 r12=8.04637726 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=9.70e-03
progress N=2 step 850/140747 0.6% t=8.50000 eta_s=30403.6 E=-2.05776560 P=0.96355819 dP=-0.03610070 r12=8.04635884 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.71e+00 resid=1.30e-02
progress N=2 step 875/140747 0.6% t=8.75000 eta_s=30402.6 E=-2.05285050 P=0.96300622 dP=-0.03665267 r12=8.04644558 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=7.00e-03
progress N=2 step 900/140747 0.6% t=9.00000 eta_s=30402.5 E=-2.04782671 P=0.96268014 dP=-0.03697875 r12=8.04650232 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=1.18e-02
progress N=2 step 925/140747 0.7% t=9.25000 eta_s=30404.1 E=-2.04269058 P=0.96252968 dP=-0.03712921 r12=8.04656679 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=1.53e-02
progress N=2 step 950/140747 0.7% t=9.50000 eta_s=30404.4 E=-2.03744314 P=0.96246461 dP=-0.03719429 r12=8.04680636 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.71e+00 resid=1.07e-02
progress N=2 step 975/140747 0.7% t=9.75000 eta_s=30406.1 E=-2.03208950 P=0.96240960 dP=-0.03724930 r12=8.04687828 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.71e+00 resid=1.11e-02
progress N=2 step 1000/140747 0.7% t=10.00000 eta_s=30407.1 E=-2.02663582 P=0.96231412 dP=-0.03734477 r12=8.04677357 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.71e+00 resid=9.49e-03
progress N=2 step 1025/140747 0.7% t=10.25000 eta_s=30405.0 E=-2.02108963 P=0.96212207 dP=-0.03753682 r12=8.04662658 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.70e+00 resid=7.65e-03
