# gap-adaptive schedule for Lohse lattice Vs=10 E_rs, Vl=5 E_rs
# paper convention V = Vs cos^2(pi x/ds) + Vl sin^2(pi x/dl - phi/2)
# dphi/dt ~ g(phi)^2; s = t/T
s,phi
0.000000000000,0.000000000000
0.006946866793,0.001047197551
0.013654075801,0.002094395102
0.020133819132,0.003141592654
0.026397475644,0.004188790205
0.032455677650,0.005235987756
0.038318371153,0.006283185307
0.043994870346,0.007330382858
0.049493907000,0.008377580410
0.054823675288,0.009424777961
0.059991872530,0.010471975512
0.065005736297,0.011519173063
0.069872078226,0.012566370614
0.074597314903,0.013613568166
0.079187496093,0.014660765717
0.083648330586,0.015707963268
0.087985209884,0.016755160819
0.092203229943,0.017802358370
0.096307211153,0.018849555922
0.100301716716,0.019896753473
0.104191069573,0.020943951024
0.107979368010,0.021991148575
0.111670500067,0.023038346126
0.115268156851,0.024085543678
0.118775844846,0.025132741229
0.122196897316,0.026179938780
0.125496988923,0.027227136331
0.128645510962,0.028274333882
0.131652672008,0.029321531434
0.134527783930,0.030368728985
0.137279358243,0.031415926536
0.139915190290,0.032463124087
0.142442433022,0.033510321638
0.144867661838,0.034557519189
0.147196931728,0.035604716741
0.149435827760,0.036651914292
0.151589509804,0.037699111843
0.153662752243,0.038746309394
0.155659979311,0.039793506945
0.157585296620,0.040840704497
0.159442519334,0.041887902048
0.161235197410,0.042935099599
0.162966638251,0.043982297150
0.164639927070,0.045029494701
0.166257945247,0.046076692253
0.167823386886,0.047123889804
0.169338773789,0.048171087355
0.170806469014,0.049218284906
0.172228689172,0.050265482457
0.173607515599,0.051312680009
0.174944904524,0.052359877560
0.176240486974,0.053407075111
0.177493987757,0.054454272662
0.178707424468,0.055501470213
0.179882687747,0.056548667765
0.181021551114,0.057595865316
0.182125679897,0.058643062867
0.183196639359,0.059690260418
0.184235902102,0.060737457969
0.185244854826,0.061784655521
0.186224804502,0.062831853072
0.187176984022,0.063879050623
0.188102557370,0.064926248174
0.189002624378,0.065973445725
0.189878225076,0.067020643277
0.190730343711,0.068067840828
0.191559912432,0.069115038379
0.192367814695,0.070162235930
0.193154888398,0.071209433481
0.193921928786,0.072256631033
0.194669691126,0.073303828584
0.195398893190,0.074351026135
0.196110217554,0.075398223686
0.196804313728,0.076445421237
0.197481800134,0.077492618789
0.198143265947,0.078539816340
0.198789030057,0.079587013891
0.199419402294,0.080634211442
0.200034926489,0.081681408993
0.200636121154,0.082728606545
0.201223480933,0.083775804096
0.201797477964,0.084823001647
0.202358563141,0.085870199198
0.202907167300,0.086917396749
0.203443702316,0.087964594301
0.203968562142,0.089011791852
0.204482123766,0.090058989403
0.204984748122,0.091106186954
0.205476780930,0.092153384505
0.205958553489,0.093200582056
0.206430383426,0.094247779608
0.206892575390,0.095294977159
0.207345421710,0.096342174710
0.207789203011,0.097389372261
0.208224188793,0.098436569812
0.208650637979,0.099483767364
0.209068799427,0.100530964915
0.209478912414,0.101578162466
0.209881207096,0.102625360017
0.210275904934,0.103672557568
0.210663219105,0.104719755120
0.211043313368,0.105766952671
0.211416346220,0.106814150222
0.211782512633,0.107861347773
0.212142000469,0.108908545324
0.212494990796,0.109955742876
0.212841658195,0.111002940427
0.213182171051,0.112050137978
0.213516691819,0.113097335529
0.213845377288,0.114144533080
0.214168378825,0.115191730632
0.214485842605,0.116238928183
0.214797909834,0.117286125734
0.215104716958,0.118333323285
0.215406395859,0.119380520836
0.215703074051,0.120427718388
0.215994874851,0.121474915939
0.216281917558,0.122522113490
0.216564317609,0.123569311041
0.216842186738,0.124616508592
0.217115633122,0.125663706144
0.217384761521,0.126710903695
0.217649673413,0.127758101246
0.217910467120,0.128805298797
0.218167237931,0.129852496348
0.218420078218,0.130899693900
0.218669069655,0.131946891451
0.218914291568,0.132994089002
0.219155828917,0.134041286553
0.219393764126,0.135088484104
0.219628177179,0.136135681656
0.219859145711,0.137182879207
0.220086745091,0.138230076758
0.220311048504,0.139277274309
0.220532127031,0.140324471860
0.220750049726,0.141371669412
0.220964883682,0.142418866963
0.221176694105,0.143466064514
0.221385544379,0.144513262065
0.221591496128,0.145560459616
0.221794609278,0.146607657168
0.221994942113,0.147654854719
0.222192551332,0.148702052270
0.222387492106,0.149749249821
0.222579818121,0.150796447372
0.222769581636,0.151843644924
0.222956833526,0.152890842475
0.223141623327,0.153938040026
0.223323999281,0.154985237577
0.223504008380,0.156032435128
0.223681696401,0.157079632679
0.223857107433,0.158126830231
0.224030284447,0.159174027782
0.224201269852,0.160221225333
0.224370104989,0.161268422884
0.224536830169,0.162315620435
0.224701484697,0.163362817987
0.224864106911,0.164410015538
0.225024734207,0.165457213089
0.225183403070,0.166504410640
0.225340149099,0.167551608191
0.225495007039,0.168598805743
0.225648010798,0.169646003294
0.225799193481,0.170693200845
0.225948587407,0.171740398396
0.226096224136,0.172787595947
0.226242134490,0.173834793499
0.226386348574,0.174881991050
0.226528895796,0.175929188601
0.226669804890,0.176976386152
0.226809103933,0.178023583703
0.226946820361,0.179070781255
0.227082980996,0.180117978806
0.227217612051,0.181165176357
0.227350739158,0.182212373908
0.227482387377,0.183259571459
0.227612582470,0.184306769011
0.227741349618,0.185353966562
0.227868712187,0.186401164113
0.227994693032,0.187448361664
0.228119314517,0.188495559215
0.228242598526,0.189542756767
0.228364566476,0.190589954318
0.228485239328,0.191637151869
0.228604637602,0.192684349420
0.228722781384,0.193731546971
0.228839690342,0.194778744523
0.228955383736,0.195825942074
0.229069880425,0.196873139625
0.229183198883,0.197920337176
0.229295357202,0.198967534727
0.229406373108,0.200014732279
0.229516263967,0.201061929830
0.229625046795,0.202109127381
0.229732738266,0.203156324932
0.229839354723,0.204203522483
0.229944912182,0.205250720035
0.230049426342,0.206297917586
0.230152912597,0.207345115137
0.230255386035,0.208392312688
0.230356861453,0.209439510239
0.230457354954,0.210486707791
0.230556882314,0.211533905342
0.230655457398,0.212581102893
0.230753093810,0.213628300444
0.230849804893,0.214675497995
0.230945603740,0.215722695546
0.231040503197,0.216769893098
0.231134515871,0.217817090649
0.231227654134,0.218864288200
0.231319930128,0.219911485751
0.231411355773,0.220958683302
0.231501942769,0.222005880854
0.231591702603,0.223053078405
0.231680646553,0.224100275956
0.231768785693,0.225147473507
0.231856130897,0.226194671058
0.231942692845,0.227241868610
0.232028482024,0.228289066161
0.232113508738,0.229336263712
0.232197783106,0.230383461263
0.232281315069,0.231430658814
0.232364114396,0.232477856366
0.232446190682,0.233525053917
0.232527553357,0.234572251468
0.232608211687,0.235619449019
0.232688176317,0.236666646570
0.232767457694,0.237713844122
0.232846064537,0.238761041673
0.232924005420,0.239808239224
0.233001288768,0.240855436775
0.233077922868,0.241902634326
