job_id=606365
array_job_id=606357
array_task_id=0
job_name=vs3n2fr1
partition=epyc
node_list=cent
excluded_nodes=bar,gyro,doom,fov
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full_repeat
case_label=free
mode=free
sigma=
planning_estimate=repeat full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate free ~27.9 h, gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T22:56:47+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_repeat_free lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=160
progress N=2 step 0/1005310 0.0% t=0.00000 eta_s=nan E=-2.15315103 P=0.99965889 dP=0.00000000 r12=8.04559382 Vg=0.00000000 norm=1.00000000 rank=-1/160 sv_max=nan resid=nan
progress N=2 step 5750/1005310 0.6% t=2.87500 eta_s=273159.2 E=-2.14017303 P=0.98621840 dP=-0.01344049 r12=8.04563674 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.84e-02
progress N=2 step 6000/1005310 0.6% t=3.00000 eta_s=273128.9 E=-2.13918450 P=0.98534477 dP=-0.01431412 r12=8.04566957 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.73e+00 resid=1.96e-02
progress N=2 step 6250/1005310 0.6% t=3.12500 eta_s=273098.5 E=-2.13816357 P=0.98453876 dP=-0.01512013 r12=8.04566589 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.28e-02
progress N=2 step 6500/1005310 0.6% t=3.25000 eta_s=273072.8 E=-2.13710835 P=0.98379489 dP=-0.01586400 r12=8.04560709 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.73e+00 resid=1.09e-02
progress N=2 step 6750/1005310 0.7% t=3.37500 eta_s=272934.9 E=-2.13601723 P=0.98312702 dP=-0.01653187 r12=8.04560566 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=1.35e-02
progress N=2 step 7000/1005310 0.7% t=3.50000 eta_s=272728.6 E=-2.13488839 P=0.98254229 dP=-0.01711660 r12=8.04557967 Vg=0.00000000 norm=1.00000000 rank=38/160 sv_max=8.73e+00 resid=1.10e-02
progress N=2 step 7250/1005310 0.7% t=3.62500 eta_s=272674.6 E=-2.13371964 P=0.98204516 dP=-0.01761373 r12=8.04559423 Vg=0.00000000 norm=1.00000000 rank=38/160 sv_max=8.73e+00 resid=1.37e-02
progress N=2 step 7500/1005310 0.7% t=3.75000 eta_s=272654.3 E=-2.13250859 P=0.98163531 dP=-0.01802358 r12=8.04560887 Vg=0.00000000 norm=1.00000000 rank=38/160 sv_max=8.73e+00 resid=1.56e-02
progress N=2 step 7750/1005310 0.8% t=3.87500 eta_s=272607.2 E=-2.13125319 P=0.98130325 dP=-0.01835564 r12=8.04568795 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=3.46e-02
progress N=2 step 8000/1005310 0.8% t=4.00000 eta_s=272362.2 E=-2.12995162 P=0.98105135 dP=-0.01860755 r12=8.04574760 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=3.17e-02
progress N=2 step 8250/1005310 0.8% t=4.12500 eta_s=271902.8 E=-2.12860183 P=0.98086812 dP=-0.01879077 r12=8.04579513 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=2.64e-02
progress N=2 step 8500/1005310 0.8% t=4.25000 eta_s=271787.2 E=-2.12720254 P=0.98073961 dP=-0.01891929 r12=8.04586086 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=2.32e-02
progress N=2 step 8750/1005310 0.9% t=4.37500 eta_s=271512.2 E=-2.12575287 P=0.98065490 dP=-0.01900399 r12=8.04593177 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=2.36e-02
progress N=2 step 9000/1005310 0.9% t=4.50000 eta_s=271344.0 E=-2.12425234 P=0.98060644 dP=-0.01905245 r12=8.04596162 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=2.52e-02
progress N=2 step 9250/1005310 0.9% t=4.62500 eta_s=271338.1 E=-2.12270058 P=0.98058231 dP=-0.01907658 r12=8.04593176 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.73e+00 resid=2.84e-02
progress N=2 step 9500/1005310 0.9% t=4.75000 eta_s=271202.1 E=-2.12109782 P=0.98055303 dP=-0.01910586 r12=8.04589071 Vg=0.00000000 norm=1.00000000 rank=39/160 sv_max=8.73e+00 resid=1.76e-02
progress N=2 step 9750/1005310 1.0% t=4.87500 eta_s=271123.3 E=-2.11944552 P=0.98050841 dP=-0.01915048 r12=8.04592135 Vg=0.00000000 norm=1.00000000 rank=39/160 sv_max=8.72e+00 resid=1.41e-02
progress N=2 step 10000/1005310 1.0% t=5.00000 eta_s=270930.3 E=-2.11774503 P=0.98043982 dP=-0.01921907 r12=8.04594874 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=1.75e-02
progress N=2 step 10250/1005310 1.0% t=5.12500 eta_s=270766.9 E=-2.11599783 P=0.98033718 dP=-0.01932171 r12=8.04594765 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=9.76e-03
progress N=2 step 10500/1005310 1.0% t=5.25000 eta_s=270789.9 E=-2.11420580 P=0.98019575 dP=-0.01946314 r12=8.04589744 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.09e-02
progress N=2 step 10750/1005310 1.1% t=5.37500 eta_s=270772.5 E=-2.11237080 P=0.98000838 dP=-0.01965051 r12=8.04581599 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=1.58e-02
progress N=2 step 11000/1005310 1.1% t=5.50000 eta_s=270619.0 E=-2.11049483 P=0.97976576 dP=-0.01989313 r12=8.04572399 Vg=0.00000000 norm=1.00000000 rank=37/160 sv_max=8.72e+00 resid=1.48e-02
progress N=2 step 11250/1005310 1.1% t=5.62500 eta_s=270628.5 E=-2.10858023 P=0.97946036 dP=-0.02019853 r12=8.04565860 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=1.39e-02
progress N=2 step 11500/1005310 1.1% t=5.75000 eta_s=270635.7 E=-2.10662888 P=0.97909487 dP=-0.02056402 r12=8.04558624 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=1.40e-02
progress N=2 step 11750/1005310 1.2% t=5.87500 eta_s=270638.4 E=-2.10464237 P=0.97866701 dP=-0.02099189 r12=8.04558094 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=6.91e-03
progress N=2 step 12000/1005310 1.2% t=6.00000 eta_s=270637.8 E=-2.10262254 P=0.97817874 dP=-0.02148016 r12=8.04554727 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=9.55e-03
progress N=2 step 12250/1005310 1.2% t=6.12500 eta_s=270423.5 E=-2.10057110 P=0.97762989 dP=-0.02202900 r12=8.04553067 Vg=0.00000000 norm=1.00000000 rank=34/160 sv_max=8.72e+00 resid=1.01e-02
progress N=2 step 12500/1005310 1.2% t=6.25000 eta_s=270182.2 E=-2.09849007 P=0.97701514 dP=-0.02264375 r12=8.04557316 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=5.38e-03
progress N=2 step 12750/1005310 1.3% t=6.37500 eta_s=269785.5 E=-2.09638212 P=0.97633914 dP=-0.02331975 r12=8.04559190 Vg=0.00000000 norm=1.00000000 rank=34/160 sv_max=8.72e+00 resid=5.79e-03
progress N=2 step 13000/1005310 1.3% t=6.50000 eta_s=269479.6 E=-2.09424956 P=0.97560562 dP=-0.02405327 r12=8.04558488 Vg=0.00000000 norm=1.00000000 rank=34/160 sv_max=8.72e+00 resid=4.89e-03
progress N=2 step 13250/1005310 1.3% t=6.62500 eta_s=269068.2 E=-2.09209446 P=0.97481994 dP=-0.02483895 r12=8.04558591 Vg=0.00000000 norm=1.00000000 rank=34/160 sv_max=8.72e+00 resid=8.72e-03
progress N=2 step 13500/1005310 1.3% t=6.75000 eta_s=268735.1 E=-2.08991911 P=0.97398252 dP=-0.02567637 r12=8.04564800 Vg=0.00000000 norm=1.00000000 rank=34/160 sv_max=8.72e+00 resid=8.62e-03
progress N=2 step 13750/1005310 1.4% t=6.87500 eta_s=268580.6 E=-2.08772583 P=0.97310375 dP=-0.02655514 r12=8.04575086 Vg=0.00000000 norm=1.00000000 rank=34/160 sv_max=8.72e+00 resid=1.04e-02
progress N=2 step 14000/1005310 1.4% t=7.00000 eta_s=268459.7 E=-2.08551632 P=0.97219862 dP=-0.02746027 r12=8.04585616 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=7.29e-03
progress N=2 step 14250/1005310 1.4% t=7.12500 eta_s=268345.3 E=-2.08329207 P=0.97127739 dP=-0.02838151 r12=8.04594988 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=6.47e-03
progress N=2 step 14500/1005310 1.4% t=7.25000 eta_s=268222.2 E=-2.08105396 P=0.97035705 dP=-0.02930184 r12=8.04606003 Vg=0.00000000 norm=1.00000000 rank=36/160 sv_max=8.72e+00 resid=5.85e-03
progress N=2 step 14750/1005310 1.5% t=7.37500 eta_s=268107.2 E=-2.07880191 P=0.96945276 dP=-0.03020614 r12=8.04616265 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=8.52e-03
progress N=2 step 15000/1005310 1.5% t=7.50000 eta_s=267991.5 E=-2.07653554 P=0.96857438 dP=-0.03108451 r12=8.04626800 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=1.04e-02
progress N=2 step 15250/1005310 1.5% t=7.62500 eta_s=267819.2 E=-2.07425438 P=0.96773696 dP=-0.03192193 r12=8.04635783 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=1.00e-02
progress N=2 step 15500/1005310 1.5% t=7.75000 eta_s=267558.6 E=-2.07195746 P=0.96694732 dP=-0.03271157 r12=8.04647065 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=7.54e-03
progress N=2 step 15750/1005310 1.6% t=7.87500 eta_s=267412.8 E=-2.06964379 P=0.96621292 dP=-0.03344597 r12=8.04662610 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=6.22e-03
progress N=2 step 16000/1005310 1.6% t=8.00000 eta_s=267259.4 E=-2.06731223 P=0.96554232 dP=-0.03411657 r12=8.04678936 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=5.54e-03
progress N=2 step 16250/1005310 1.6% t=8.12500 eta_s=266935.3 E=-2.06496110 P=0.96494383 dP=-0.03471506 r12=8.04688095 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=6.63e-03
progress N=2 step 16500/1005310 1.6% t=8.25000 eta_s=266786.9 E=-2.06258853 P=0.96442282 dP=-0.03523607 r12=8.04687319 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=8.28e-03
progress N=2 step 16750/1005310 1.7% t=8.37500 eta_s=266679.0 E=-2.06019300 P=0.96397950 dP=-0.03567939 r12=8.04682840 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=9.69e-03
progress N=2 step 17000/1005310 1.7% t=8.50000 eta_s=266575.2 E=-2.05777300 P=0.96360828 dP=-0.03605061 r12=8.04682238 Vg=0.00000000 norm=1.00000000 rank=35/160 sv_max=8.72e+00 resid=1.05e-02
